sample_id,frequency_hz,candidate,candidate_method,source_model,grid_points,unknown_count,sensor_count,measurement_channels,channel_unknown_ratio,lambda_reg,convention_id,measurement_transform,near_phase_sign,far_phase_sign,convention_note,nearfield_relative_residual,nearfield_power_nmse,nearfield_extraction_method,farfield_extraction_method,effective_rank,rank_ratio,stable_condition,nmse,correlation,main_lobe_error_deg,peak_error_db
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,0.0001,current_direct,direct,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Use theta/phi complex samples as converted by cst_io.",0.9884721807644589,0.22639460348296436,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,1.2934940102400596e-06,0.9999993660715251,0.0,4.104245724532482
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,0.0001,current_complex_conjugate,complex_conjugate,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Complex conjugate the measured theta/phi samples.",0.9884730720609834,0.22639460674300288,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,1.293494805944639e-06,0.9999993660715427,0.0,4.103911872394148
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,0.0001,current_phi_sign_flip,phi_sign_flip,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Flip the phi-polarization sign.",0.9884721807644594,0.22639463348050337,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,1.2935014849747895e-06,0.9999993660715369,0.0,4.104245703299413
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,0.0001,current_theta_phi_swap,theta_phi_swap,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Swap theta and phi polarization channels.",1.0,0.24087950375666947,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,0.999999037573676,0.9666533114936202,153.54787566536936,-75.92655342097045
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,0.0001,reciprocal_flipped_direct,direct,1,-1,"Reciprocal time-sign flip: near exp(+jkr), far exp(-jk rhat dot r0). Use theta/phi complex samples as converted by cst_io.",0.9884730720609834,0.22639460674300288,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,1.293494805944639e-06,0.9999993660715427,0.0,4.103911872394148
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,0.0001,reciprocal_flipped_complex_conjugate,complex_conjugate,1,-1,"Reciprocal time-sign flip: near exp(+jkr), far exp(-jk rhat dot r0). Complex conjugate the measured theta/phi samples.",0.9884721807644589,0.22639460348296436,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,1.2934940102400596e-06,0.9999993660715251,0.0,4.104245724532482
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,0.0001,reciprocal_flipped_phi_sign_flip,phi_sign_flip,1,-1,"Reciprocal time-sign flip: near exp(+jkr), far exp(-jk rhat dot r0). Flip the phi-polarization sign.",0.9884730720609841,0.22639463297398796,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,1.2935013409719652e-06,0.9999993660715368,0.0,4.103911853861365
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,0.0001,reciprocal_flipped_theta_phi_swap,theta_phi_swap,1,-1,"Reciprocal time-sign flip: near exp(+jkr), far exp(-jk rhat dot r0). Swap theta and phi polarization channels.",0.9999999999999999,0.21966070096489063,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,0.9999983299191473,0.9803659866820812,158.19265480404357,-75.92655342097045
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,1e-05,current_direct,direct,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Use theta/phi complex samples as converted by cst_io.",0.988472180553042,0.22639460348436494,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,1.2934940105891532e-06,0.999999366071525,0.0,4.105306687138295
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,1e-05,current_complex_conjugate,complex_conjugate,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Complex conjugate the measured theta/phi samples.",0.988473071849583,0.22639460674428633,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,1.2934948062647848e-06,0.9999993660715427,0.0,4.104972835000044
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,1e-05,current_phi_sign_flip,phi_sign_flip,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Flip the phi-polarization sign.",0.9884721805530423,0.22639463348082778,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,1.293501485055172e-06,0.999999366071537,0.0,4.105306665905994
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,1e-05,current_theta_phi_swap,theta_phi_swap,-1,1,"Current em_core convention: near exp(-jkr), far exp(+jk rhat dot r0). Swap theta and phi polarization channels.",1.0,0.24087561177222558,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,0.9999990373451607,0.9666560049617582,153.54787566536936,-75.92655342097045
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,single_center,1,3,162,324,108.0,1e-05,reciprocal_flipped_direct,direct,1,-1,"Reciprocal time-sign flip: near exp(+jkr), far exp(-jk rhat dot r0). Use theta/phi complex samples as converted by cst_io.",0.988473071849583,0.22639460674428633,"FarfieldPlot linear E-field, spherical-to-Cartesian at measurement radius",FarfieldPlot linear E-field list evaluation,3,1.0,1.1898036316783183,1.2934948062647848e-06,0.9999993660715427,0.0,4.104972835000044
