model_id,note,candidate,lambda_reg,nx,ny,nz,x_min,x_max,y_min,y_max,z_min,z_max,grid_points,mean_correlation,min_correlation,mean_nmse,max_nmse,mean_main_lobe_error_deg,max_main_lobe_error_deg,mean_stable_condition,status
single_center,"Known Level 1 source prior at (0, 0, 4 m).",full_grid_162,0.001,1,1,1,0.0,0.0,0.0,0.0,4.0,4.0,1,0.9963037428415125,0.9926081196115,0.008892872572226186,0.017784451650445617,0.0,0.0,1.1898036316783183,corr_pass_nmse_near
single_center,"Known Level 1 source prior at (0, 0, 4 m).",full_grid_162,0.0001,1,1,1,0.0,0.0,0.0,0.0,4.0,4.0,1,0.9963037428415125,0.9926081196114998,0.008892872572274285,0.01778445165053833,0.0,0.0,1.1898036316783183,corr_pass_nmse_near
single_center,"Known Level 1 source prior at (0, 0, 4 m).",full_grid_162,0.01,1,1,1,0.0,0.0,0.0,0.0,4.0,4.0,1,0.9963037428415122,0.9926081196114996,0.008892872571749134,0.017784451649526037,0.0,0.0,1.1898036316783183,corr_pass_nmse_near
single_center,"Known Level 1 source prior at (0, 0, 4 m).",full_grid_162,1e-05,1,1,1,0.0,0.0,0.0,0.0,4.0,4.0,1,0.9963037428415122,0.9926081196114996,0.008892872572279158,0.017784451650547727,0.0,0.0,1.1898036316783183,corr_pass_nmse_near
default_cube_5x3x3,Current generic grid used by cst_level1_tradeoff.,full_grid_162,1e-05,5,3,3,-0.25,0.25,-0.25,0.25,3.75,4.25,45,0.8076335425071047,0.7940780752731348,0.3073797059581243,0.3184250043667315,89.92574848934078,109.90036842753926,185.92676953422503,diagnostic_only
default_cube_5x3x3,Current generic grid used by cst_level1_tradeoff.,full_grid_162,0.0001,5,3,3,-0.25,0.25,-0.25,0.25,3.75,4.25,45,0.8065471404885938,0.7929894882043745,0.309368150240342,0.3203551638682805,89.92574848934078,109.90036842753926,185.92676953422503,diagnostic_only
default_cube_5x3x3,Current generic grid used by cst_level1_tradeoff.,full_grid_162,0.001,5,3,3,-0.25,0.25,-0.25,0.25,3.75,4.25,45,0.8055947112331098,0.7920233356274266,0.3155598566984903,0.32657086569421173,89.92574848934078,109.90036842753926,185.92676953422503,diagnostic_only
compact_cube_3x3x3,Compact local uncertainty volume around the Level 1 source.,full_grid_162,1e-05,3,3,3,-0.1,0.1,-0.1,0.1,3.9,4.1,27,0.7933703503697743,0.7838063394806698,0.3259118814933575,0.32999607092023125,19.9872968445099,39.9745936890198,1900.925247575812,diagnostic_only
default_cube_5x3x3,Current generic grid used by cst_level1_tradeoff.,full_grid_162,0.01,5,3,3,-0.25,0.25,-0.25,0.25,3.75,4.25,45,0.7963782291347233,0.7826099965313554,0.32154300996806073,0.33313262438378644,69.9511285511423,69.95112855114232,185.92676953422503,diagnostic_only
compact_cube_3x3x3,Compact local uncertainty volume around the Level 1 source.,full_grid_162,0.0001,3,3,3,-0.1,0.1,-0.1,0.1,3.9,4.1,27,0.7639597862895344,0.7521781623973831,0.3468006087283318,0.3476634144896461,19.9872968445099,39.9745936890198,1900.925247575812,diagnostic_only
z_line_3,Three possible source depths around the Level 1 center.,full_grid_162,1e-05,1,1,3,0.0,0.0,0.0,0.0,3.75,4.25,3,0.7186844978697333,0.7105820114107643,0.2268052840129436,0.23560086828053606,82.24718878053214,139.12233486759212,2.0009785477566187,diagnostic_only
z_line_3,Three possible source depths around the Level 1 center.,full_grid_162,0.0001,1,1,3,0.0,0.0,0.0,0.0,3.75,4.25,3,0.7186779663406458,0.7105743036679065,0.2268094715331056,0.2356074645989092,82.24718878053214,139.12233486759212,2.0009785477566187,diagnostic_only
z_line_3,Three possible source depths around the Level 1 center.,full_grid_162,0.001,1,1,3,0.0,0.0,0.0,0.0,3.75,4.25,3,0.7186126964167985,0.7104972826506202,0.2268513593468835,0.23567342487745901,82.24718878053214,139.12233486759212,2.0009785477566187,diagnostic_only
z_line_3,Three possible source depths around the Level 1 center.,full_grid_162,0.01,1,1,3,0.0,0.0,0.0,0.0,3.75,4.25,3,0.7179645144933062,0.7097326845522538,0.22727144008706213,0.23633268613488495,82.24718878053214,139.12233486759212,2.0009785477566187,diagnostic_only
compact_cube_3x3x3,Compact local uncertainty volume around the Level 1 source.,full_grid_162,0.001,3,3,3,-0.1,0.1,-0.1,0.1,3.9,4.1,27,0.7259587443745704,0.7066410712584406,0.28182256338404765,0.28457212452240216,24.985210568062538,49.970421136125076,1900.925247575812,diagnostic_only
compact_cube_3x3x3,Compact local uncertainty volume around the Level 1 source.,full_grid_162,0.01,3,3,3,-0.1,0.1,-0.1,0.1,3.9,4.1,27,0.5247676101111037,0.4929339009714416,0.32207685125762786,0.3321126167010615,71.67039807483413,84.96684532835818,1900.925247575812,diagnostic_only
wide_cube_5x5x3,Wider local uncertainty volume for stress testing.,full_grid_162,0.01,5,5,3,-0.5,0.5,-0.5,0.5,3.5,4.5,75,0.40265463502394283,0.39363302272827977,0.8098411734440588,0.8177205963557641,105.45703680605035,154.56263272219812,67.86886185262695,diagnostic_only
wide_cube_5x5x3,Wider local uncertainty volume for stress testing.,full_grid_162,0.001,5,5,3,-0.5,0.5,-0.5,0.5,3.5,4.5,75,0.39832397058373803,0.3887578870807176,0.8391242528565616,0.8460329690060764,37.32705276720958,55.61548013889318,67.86886185262695,diagnostic_only
wide_cube_5x5x3,Wider local uncertainty volume for stress testing.,full_grid_162,0.0001,5,5,3,-0.5,0.5,-0.5,0.5,3.5,4.5,75,0.39698641670386386,0.3878314537350181,0.8442749671733746,0.8512126601111824,37.32705276720958,55.61548013889318,67.86886185262695,diagnostic_only
wide_cube_5x5x3,Wider local uncertainty volume for stress testing.,full_grid_162,1e-05,5,5,3,-0.5,0.5,-0.5,0.5,3.5,4.5,75,0.3961112398029867,0.3869940266742364,0.8448268904636191,0.8517696392990487,37.32705276720958,55.61548013889318,67.86886185262695,diagnostic_only
xy_plane_3x3,Lateral uncertainty at the known Level 1 height.,full_grid_162,0.01,3,3,1,-0.25,0.25,-0.25,0.25,4.0,4.0,9,0.2803045106688048,0.2758200566469275,0.651020150461229,0.6671818431209205,46.61585967189401,52.62060834378802,1.8086416863020194,diagnostic_only
xy_plane_3x3,Lateral uncertainty at the known Level 1 height.,full_grid_162,0.001,3,3,1,-0.25,0.25,-0.25,0.25,4.0,4.0,9,0.27864910509036445,0.2743850078018512,0.6527552813098816,0.6687549636402178,46.61585967189401,52.62060834378802,1.8086416863020194,diagnostic_only
xy_plane_3x3,Lateral uncertainty at the known Level 1 height.,full_grid_162,0.0001,3,3,1,-0.25,0.25,-0.25,0.25,4.0,4.0,9,0.27848200313149585,0.27424017958525737,0.6529303393445762,0.668913595080607,46.61585967189401,52.62060834378802,1.8086416863020194,diagnostic_only
xy_plane_3x3,Lateral uncertainty at the known Level 1 height.,full_grid_162,1e-05,3,3,1,-0.25,0.25,-0.25,0.25,4.0,4.0,9,0.2784652771873251,0.2742256834171445,0.6529478607304249,0.6689294715249918,46.61585967189401,52.62060834378802,1.8086416863020194,diagnostic_only
