config,solver,candidate,l2_lambda,group_alpha_frac,equivalent_source_points,mean_correlation,min_correlation,mean_nmse,max_nmse,mean_main_lobe_error_deg,max_main_lobe_error_deg,mean_active_sources,mean_center_energy_share,max_peak_center_distance_m,mean_relative_residual,status
default_cube_5x3x3,group_sparse,full_grid_162,0.0001,0.3,45,0.9434440466993648,0.9283214104080826,0.05770730506745203,0.0811101083682113,82.48013372269301,152.70142692289906,2.0,0.0,0.25,0.8097529099446601,diagnostic_only
default_cube_5x3x3,group_sparse,full_grid_162,1e-05,0.3,45,0.9434405906422313,0.9283174190131462,0.05771070599134054,0.08111426735176493,82.48013372269301,152.70142692289906,2.0,0.0,0.25,0.8097395548152193,diagnostic_only
default_cube_5x3x3,group_sparse,full_grid_162,0.0001,0.1,45,0.84067752948554,0.8299885990541291,0.2081135403345805,0.22707870587606224,47.61144659438747,64.9424812797005,24.0,0.06720613634659026,0.25,0.7103909459261027,diagnostic_only
default_cube_5x3x3,group_sparse,full_grid_162,1e-05,0.1,45,0.8406759501654525,0.8299864424651926,0.20810242342826804,0.22706558770208604,47.61144659438747,64.9424812797005,24.0,0.06720083443619002,0.25,0.7103784145553413,diagnostic_only
default_cube_5x3x3,tikhonov,full_grid_162,1e-05,0.0,45,0.8076335425071047,0.7940780752731348,0.3073797059581243,0.3184250043667315,89.92574848934078,109.90036842753926,45.0,0.026407201409749562,0.25,0.5557943144702244,diagnostic_only
default_cube_5x3x3,tikhonov,full_grid_162,0.0001,0.0,45,0.8065471404885938,0.7929894882043745,0.309368150240342,0.3203551638682805,89.92574848934078,109.90036842753926,45.0,0.020272618873425498,0.25,0.5558395383823636,diagnostic_only
default_cube_5x3x3,group_sparse,full_grid_162,1e-05,0.0001,45,0.8059517645165595,0.7924115527024069,0.30928139672120075,0.3202237269871974,89.92574848934078,109.90036842753926,45.0,0.018906468909868607,0.25,0.555853036030491,diagnostic_only
default_cube_5x3x3,group_sparse,full_grid_162,1e-05,0.0003,45,0.8059680636140569,0.792405810688992,0.31081920138861474,0.32178806332603943,89.92574848934078,109.90036842753926,45.0,0.01701164178042791,0.25,0.5559263866027956,diagnostic_only
default_cube_5x3x3,group_sparse,full_grid_162,0.0001,0.0003,45,0.8058948270552415,0.7923284435859039,0.3116157536805446,0.3225931674869212,89.92574848934078,109.90036842753926,45.0,0.01618293793079472,0.25,0.5559830802819743,diagnostic_only
default_cube_5x3x3,group_sparse,full_grid_162,0.0001,0.0001,45,0.8058629167069793,0.7923199570901824,0.31017232690852936,0.3211175037321345,89.92574848934078,109.90036842753926,45.0,0.017600860915847436,0.25,0.5558858473168905,diagnostic_only
default_cube_5x3x3,group_sparse,full_grid_162,1e-05,0.001,45,0.8056941603307052,0.7920412770341053,0.31541686049277684,0.32655622556566694,89.92574848934078,109.90036842753926,45.0,0.014859703400823165,0.25,0.5566548480342306,diagnostic_only
default_cube_5x3x3,group_sparse,full_grid_162,0.0001,0.001,45,0.8056610480528845,0.7920039538140566,0.31587775773638216,0.32703118760992894,89.92574848934078,109.90036842753926,45.0,0.015004305572152547,0.25,0.5567700096893076,diagnostic_only
default_cube_5x3x3,group_sparse,full_grid_162,1e-05,0.003,45,0.8015904995182437,0.7876887280955893,0.3217104092052957,0.3335404104313571,69.9511285511423,69.95112855114232,45.0,0.01657885206140757,0.25,0.5619581392084516,diagnostic_only
default_cube_5x3x3,group_sparse,full_grid_162,0.0001,0.003,45,0.8014038266513959,0.7874975723468641,0.32186924337137957,0.3337148531810868,69.9511285511423,69.95112855114232,45.0,0.016755932360581007,0.25,0.5621725629448348,diagnostic_only
compact_cube_3x3x3,tikhonov,full_grid_162,1e-05,0.0,27,0.7933703503697743,0.7838063394806698,0.3259118814933575,0.32999607092023125,19.9872968445099,39.9745936890198,27.0,0.07591128035224746,0.0,0.5147095127086694,diagnostic_only
default_cube_5x3x3,group_sparse,full_grid_162,1e-05,0.01,45,0.7813533616448891,0.7672955942249233,0.3242619995006551,0.3397333129740884,40.02496140239036,59.94038432733143,45.0,0.035923478704086034,0.25,0.5918675722246834,diagnostic_only
default_cube_5x3x3,group_sparse,full_grid_162,0.0001,0.03,45,0.7809496757374477,0.7672688995713641,0.31172587840917665,0.32575498929641583,22.935725403273885,25.372042693472167,39.0,0.05828911889936207,0.25,0.6244531331089354,diagnostic_only
default_cube_5x3x3,group_sparse,full_grid_162,1e-05,0.03,45,0.780944863717242,0.7672623642171911,0.31173287795276133,0.3257600927481334,22.935725403273885,25.372042693472167,39.0,0.058279119503271665,0.25,0.6244260621330786,diagnostic_only
default_cube_5x3x3,group_sparse,full_grid_162,0.0001,0.01,45,0.7812973965294164,0.7672434056582,0.3242463666748438,0.339717460081716,40.02496140239036,59.94038432733143,45.0,0.03603396290161415,0.25,0.5919604995564691,diagnostic_only
compact_cube_3x3x3,tikhonov,full_grid_162,0.0001,0.0,27,0.7639597862895344,0.7521781623973831,0.3468006087283318,0.3476634144896461,19.9872968445099,39.9745936890198,27.0,0.06785785656264973,0.14142135623730925,0.5474103282693552,diagnostic_only
compact_cube_3x3x3,group_sparse,full_grid_162,1e-05,0.001,27,0.7529570089511746,0.7397476105629739,0.3388292542195199,0.3398383491856258,19.9872968445099,39.9745936890198,27.0,0.07349136917252305,0.14142135623730925,0.5763993221038284,diagnostic_only
compact_cube_3x3x3,group_sparse,full_grid_162,1e-05,0.0003,27,0.7523653709307163,0.7394849099517184,0.348624345244959,0.34950898267794056,19.9872968445099,39.9745936890198,27.0,0.07078042925052483,0.14142135623730925,0.5721288819348542,diagnostic_only
compact_cube_3x3x3,group_sparse,full_grid_162,1e-05,0.0001,27,0.7521319085835121,0.7393421838435492,0.35142620439852035,0.35228596330042466,19.9872968445099,39.9745936890198,27.0,0.07010107556135989,0.14142135623730925,0.5709668951297429,diagnostic_only
compact_cube_3x3x3,group_sparse,full_grid_162,1e-05,0.003,27,0.7525765131035784,0.7383974462328872,0.31255861993135126,0.314338530364629,19.9872968445099,39.9745936890198,27.0,0.08478743886506143,0.14142135623730925,0.5902525300726535,diagnostic_only
compact_cube_3x3x3,group_sparse,full_grid_162,0.0001,0.001,27,0.7498193532923515,0.7359124808142118,0.3321764691300173,0.3329912771509111,19.9872968445099,39.9745936890198,27.0,0.07501346589323324,0.14142135623730925,0.5830117809017744,diagnostic_only
compact_cube_3x3x3,group_sparse,full_grid_162,0.0001,0.0003,27,0.7493698264598189,0.7357958851647552,0.3418673407186378,0.34253328838575947,19.9872968445099,39.9745936890198,27.0,0.07200599292547712,0.14142135623730925,0.5787138464147794,diagnostic_only
compact_cube_3x3x3,group_sparse,full_grid_162,0.0001,0.0001,27,0.7491835551452877,0.7357021815008434,0.3446393404238638,0.3452732699096312,19.9872968445099,39.9745936890198,27.0,0.07124997873045433,0.14142135623730925,0.5775343798296437,diagnostic_only
compact_cube_3x3x3,group_sparse,full_grid_162,0.0001,0.003,27,0.7492900465048589,0.7344196987876829,0.30604438436543746,0.3076976535114283,19.9872968445099,39.9745936890198,27.0,0.08745988391056214,0.14142135623730925,0.59665475586554,diagnostic_only
compact_cube_3x3x3,group_sparse,full_grid_162,1e-05,0.01,27,0.7299409958303444,0.709069554455917,0.2526759419366439,0.25563213861078476,30.117970395514895,49.970421136125076,27.0,0.13082230561666797,0.0,0.6396818083046135,diagnostic_only
compact_cube_3x3x3,group_sparse,full_grid_162,0.0001,0.01,27,0.7247823622454328,0.7031235630470277,0.24884529481123613,0.2519474851025335,27.75222456113211,49.970421136125076,27.0,0.13314956767237374,0.0,0.6439409305399828,diagnostic_only
compact_cube_3x3x3,group_sparse,full_grid_162,1e-05,0.03,27,0.6492906171740216,0.61921899337327,0.2478452160956967,0.25741557369068874,29.41432559053723,54.0508731810745,19.0,0.24082296290627037,0.0,0.6977276099789336,diagnostic_only
compact_cube_3x3x3,group_sparse,full_grid_162,0.0001,0.03,27,0.645901197571352,0.615427110789693,0.2498906590563503,0.2592976944284845,29.41432559053723,54.0508731810745,19.0,0.23829941886024847,0.0,0.6987062132075128,diagnostic_only
compact_cube_3x3x3,group_sparse,full_grid_162,1e-05,0.1,27,0.4754853145052904,0.43663218801096787,0.3640363489529952,0.3746300054147728,49.263322649580175,55.52664529916034,23.0,0.22060139713891702,0.09999999999999964,0.7896996939747483,diagnostic_only
compact_cube_3x3x3,group_sparse,full_grid_162,0.0001,0.1,27,0.4745866549534221,0.4357196930969288,0.3646717371125183,0.3752319567217171,49.263322649580175,55.52664529916034,23.0,0.2200197443385921,0.09999999999999964,0.7899920861530831,diagnostic_only
compact_cube_3x3x3,group_sparse,full_grid_162,0.0001,0.3,27,0.09222365910022656,0.03308229313743931,0.5461496453031011,0.556745612974187,0.0,0.0,2.0,0.4693482113152245,0.09999999999999964,0.9099582280979694,diagnostic_only
compact_cube_3x3x3,group_sparse,full_grid_162,1e-05,0.3,27,0.09214336869574544,0.03303184742650249,0.5461989022133964,0.5567914711727295,0.0,0.0,2.0,0.4693572133835287,0.09999999999999964,0.9099406442657747,diagnostic_only
