sample_id,frequency_hz,candidate,candidate_method,config,solver,sensor_count,measurement_channels,equivalent_source_points,unknown_count,channel_unknown_ratio,l2_lambda,group_alpha_frac,effective_rank,rank_ratio,stable_condition,solver_iterations,solver_converged,solver_rel_change,lambda_max,group_lambda,lipschitz,relative_residual,active_sources,active_fraction,peak_source_norm,peak_x_m,peak_y_m,peak_z_m,peak_center_distance_m,center_energy_share,nmse,correlation,main_lobe_error_deg,peak_error_db
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,tikhonov,162,324,45,135,2.4,0.0001,0.0,135,1.0,185.92676953422503,0,1,0.0,0.0009078708031829954,0.0,,0.5606989707315833,45,1.0,0.002301848617144172,0.0,0.0,4.25,0.25,0.021347821108966887,0.3203551638682805,0.7929894882043745,109.90036842753926,21.178955230332576
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,0.0001,0.3,135,1.0,185.92676953422503,127,1,8.616872890266403e-07,0.0009078708031829954,0.0002723612409548986,7.1973436400457205,0.8103682543378113,2,0.044444444444444446,0.0008537966862711258,0.0,0.0,4.25,0.25,0.0,0.0811101083682113,0.9283214104080826,12.25884052248697,14.12732738053726
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,0.0001,0.1,135,1.0,185.92676953422503,180,1,6.685350561275272e-07,0.0009078708031829954,9.078708031829955e-05,7.1973436400457205,0.7117887912789841,25,0.5555555555555556,0.0010694035944232437,0.0,0.0,4.25,0.25,0.06686992871555955,0.22707870587606224,0.8299885990541291,30.28041190907445,18.068154765509895
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,0.0001,0.03,135,1.0,185.92676953422503,365,1,9.307401273893794e-07,0.0009078708031829954,2.7236124095489864e-05,7.1973436400457205,0.628228747966127,39,0.8666666666666667,0.0012118038500160357,0.0,0.0,4.25,0.25,0.05839379954497328,0.32575498929641583,0.7672688995713641,20.499408113075603,19.781756873430854
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,0.0001,0.01,135,1.0,185.92676953422503,500,0,5.3360421597703936e-05,0.0009078708031829954,9.078708031829955e-06,7.1973436400457205,0.5962939690703101,45,1.0,0.001453862675338524,0.0,0.0,4.25,0.25,0.03551550920277836,0.339717460081716,0.7672434056582,59.94038432733143,20.304667485640593
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,0.0001,0.003,135,1.0,185.92676953422503,500,0,0.0003156603289454062,0.0009078708031829954,2.7236124095489863e-06,7.1973436400457205,0.5668499287528732,45,1.0,0.001813809665409187,0.0,0.0,4.25,0.25,0.016637020860553728,0.3337148531810868,0.7874975723468641,69.95112855114232,20.796110338848678
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,0.0001,0.001,135,1.0,185.92676953422503,500,0,0.0003949062076749135,0.0009078708031829954,9.078708031829954e-07,7.1973436400457205,0.5616015406294532,45,1.0,0.0019932937877094846,0.0,0.0,4.25,0.25,0.015338944208329954,0.32703118760992894,0.7920039538140566,109.90036842753926,21.06911827694489
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,0.0001,0.0003,135,1.0,185.92676953422503,500,0,0.00036861501652295356,0.0009078708031829954,2.723612409548986e-07,7.1973436400457205,0.5608381003587563,45,1.0,0.002164039479159605,0.0,0.0,4.25,0.25,0.01704106370277966,0.3225931674869212,0.7923284435859039,109.90036842753926,21.15671365903291
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,group_sparse,162,324,45,135,2.4,0.0001,0.0001,135,1.0,185.92676953422503,500,0,0.0005576866771833664,0.0009078708031829954,9.078708031829955e-08,7.1973436400457205,0.560743832728542,45,1.0,0.0022297541198671644,0.0,0.0,4.25,0.25,0.018571309083823758,0.3211175037321345,0.7923199570901824,109.90036842753926,21.180213704258502
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,default_cube_5x3x3,tikhonov,162,324,45,135,2.4,1e-05,0.0,135,1.0,185.92676953422503,0,1,0.0,0.0009078708031829954,0.0,,0.5606549862087227,45,1.0,0.0024540929419883998,0.0,0.0,4.25,0.25,0.027484109675145703,0.3184250043667315,0.7940780752731348,109.90036842753926,21.175638928194054
