sample_id,frequency_hz,theta_deg,phi_deg,reference_power,predicted_power,reference_power_norm,predicted_power_norm,predicted_e_theta_real,predicted_e_theta_imag,predicted_e_phi_real,predicted_e_phi_imag
L1_halfwave_dipole_z_1p2G,1200000000.0,2.0,0.0,1.4982333865309286e-06,6.663575441809771e-05,0.0006918506270439654,0.0008252800851262523,0.00795249524895438,0.000572810006928168,-0.001140210590911848,0.0013286768748612726
L1_halfwave_dipole_z_1p2G,1200000000.0,2.0,5.0,1.4982333678150453e-06,6.496081948642436e-05,0.0006918506184013896,0.000804536109837561,0.007859826263092142,0.0006815885839733528,-0.0011532399771230057,0.0011787387996472867
L1_halfwave_dipole_z_1p2G,1200000000.0,2.0,10.0,1.498233348423578e-06,6.330776820583962e-05,0.0006918506094468443,0.0007840631623415466,0.007766296358096195,0.0007791728316875635,-0.0011594548012204902,0.0010202761127989534
L1_halfwave_dipole_z_1p2G,1200000000.0,2.0,14.999999999999998,1.49823332848103e-06,6.168267549262669e-05,0.0006918506002378222,0.0007639364801360221,0.0076721937067631,0.0008649406621855269,-0.00115878239386812,0.0008539439285402106
L1_halfwave_dipole_z_1p2G,1200000000.0,2.0,20.0,1.498233308103166e-06,6.0091732741116946e-05,0.0006918505908277809,0.0007442327432929023,0.007577817749220449,0.0009382634054214059,-0.0011511244749419054,0.0006804301036500523
L1_halfwave_dipole_z_1p2G,1200000000.0,2.0,25.0,1.4982332874019758e-06,5.85414531784404e-05,0.0006918505812684349,0.0007250326177652815,0.007483492688984686,0.0009985034639611989,-0.0011363594430184197,0.0005004681818792278
L1_halfwave_dipole_z_1p2G,1200000000.0,2.0,29.999999999999996,1.4982332664881867e-06,5.703886057135736e-05,0.0006918505716109153,0.0007064230925109718,0.007389580342519534,0.0010450159883168802,-0.0011143485761594516,0.00031485197757001875
L1_halfwave_dipole_z_1p2G,1200000000.0,2.0,35.0,1.498233245477374e-06,5.559164235614837e-05,0.0006918505619085925,0.0006884993759976106,0.0072964911987799756,0.001077155060962619,-0.0010849458772324238,0.00012445063436442684
L1_halfwave_dipole_z_1p2G,1200000000.0,2.0,40.0,1.4982332244934894e-06,5.4208251047449586e-05,0.0006918505522187046,0.0006713661521454053,0.007204692684718539,0.0010942845129664161,-0.0010480109380766153,-6.977710631996112e-05
L1_halfwave_dipole_z_1p2G,1200000000.0,2.0,45.0,1.4982332036716958e-06,5.289794245402957e-05,0.0006918505426036666,0.0006551380536273875,0.007114713889679724,0.0010957931301693623,-0.00100342391176246,-0.0002667706715606815
