variant,variant_family,calibration_mode,hfield_j_scale,requested_case_count,present_case_count,accepted_case_count,strict_case_count,region_shape_case_count,physics_proxy_case_count,worst_status,worst_status_rank,min_correlation,mean_correlation,max_scaled_power_nmse,mean_scaled_power_nmse,max_nmse,mean_nmse,max_main_lobe_error_deg,max_main_lobe_region_error_deg,min_main_lobe_region_jaccard,min_main_lobe_region_capture,sample_statuses
eh_love_equivalence_minus_j96,eh_love_equivalence_minus,real_eh_j_scale_scan,96.0,2,2,2,1,1,0,region_shape_pass,1,0.998895662765677,0.9989912588584267,0.0007303417569844,0.0007217700822658,0.0042851050844059,0.0032181208281953496,134.58230131036078,0.0,0.9085648148148148,0.9213297045630672,L1_halfwave_dipole_z_1p2G:strict_pass; L1_short_dipole_z_1p2G:region_shape_pass
eh_love_equivalence_minus_j128,eh_love_equivalence_minus,real_eh_j_scale_scan,128.0,2,2,2,1,1,0,region_shape_pass,1,0.9988473414480096,0.9989600199144896,0.000763022489645,0.00074307457362375,0.0046178663908604,0.0033418043331319,129.63105907474642,0.0,0.9027777777777778,0.9162541075785942,L1_halfwave_dipole_z_1p2G:strict_pass; L1_short_dipole_z_1p2G:region_shape_pass
eh_love_equivalence_minus_j192,eh_love_equivalence_minus,real_eh_j_scale_scan,192.0,2,2,2,1,1,0,region_shape_pass,1,0.9987096180961084,0.998850156553064,0.0008558967327001,0.00082271490163545,0.0053997348126657,0.00416418505863575,129.63105907474642,0.0,0.8935185185185185,0.908231797361542,L1_halfwave_dipole_z_1p2G:strict_pass; L1_short_dipole_z_1p2G:region_shape_pass
eh_love_equivalence_minus_j256,eh_love_equivalence_minus,real_eh_j_scale_scan,256.0,2,2,2,1,1,0,region_shape_pass,1,0.9985300291531426,0.9986961692062065,0.0009768746472955,0.0009336136502134,0.0061561544993182,0.0049385845496704005,129.63105907474642,0.0,0.8796296296296297,0.8959490021238462,L1_halfwave_dipole_z_1p2G:strict_pass; L1_short_dipole_z_1p2G:region_shape_pass
eh_love_equivalence_minus_j384,eh_love_equivalence_minus,real_eh_j_scale_scan,384.0,2,2,2,1,1,0,region_shape_pass,1,0.9981148665693542,0.9983173284914328,0.0012565658891203,0.00120544951769555,0.007449256819671,0.006106439874866899,129.63105907474642,0.0,0.8692129629629629,0.8867362257163064,L1_halfwave_dipole_z_1p2G:strict_pass; L1_short_dipole_z_1p2G:region_shape_pass
eh_love_equivalence_minus_j512,eh_love_equivalence_minus,real_eh_j_scale_scan,512.0,2,2,2,1,1,0,region_shape_pass,1,0.9977211422725668,0.9978962665763376,0.0015319805421346,0.0015269339371062,0.0084214417461359,0.00676818448172245,124.67184094178047,0.0,0.8611111111111112,0.8792509381541517,L1_halfwave_dipole_z_1p2G:strict_pass; L1_short_dipole_z_1p2G:region_shape_pass
eh_love_equivalence_plus_j256,eh_love_equivalence_plus,real_eh_j_scale_scan,256.0,2,2,2,1,1,0,region_shape_pass,1,0.9963306104732664,0.9974102048191956,0.003683764115467,0.002339539654207,0.0058399956664897,0.0052040375938046494,24.984524595905555,0.0,0.8944444444444445,0.9088334865676952,L1_halfwave_dipole_z_1p2G:region_shape_pass; L1_short_dipole_z_1p2G:strict_pass
eh_love_equivalence_plus_j384,eh_love_equivalence_plus,real_eh_j_scale_scan,384.0,2,2,2,1,1,0,region_shape_pass,1,0.9938197905272612,0.9959982277686623,0.0063360289121808,0.0037688181277619,0.0079419793067608,0.006949697711727451,24.984524595905555,0.0,0.8807870370370371,0.8967586743667049,L1_halfwave_dipole_z_1p2G:region_shape_pass; L1_short_dipole_z_1p2G:strict_pass
eh_love_equivalence_plus_j512,eh_love_equivalence_plus,real_eh_j_scale_scan,512.0,2,2,2,1,1,0,region_shape_pass,1,0.9911076620142176,0.9945249162533514,0.0091256878085544,0.00524084679201455,0.0101069796769093,0.00900689815679245,24.984524595905555,0.0,0.8506944444444444,0.8697606327623287,L1_halfwave_dipole_z_1p2G:region_shape_pass; L1_short_dipole_z_1p2G:strict_pass
eh_love_equivalence_minus_j16,eh_love_equivalence_minus,real_eh_j_scale_scan,16.0,2,2,2,0,2,0,region_shape_pass,1,0.9989466314999332,0.9989724617119133,0.0008107116012896,0.0007530021204531,0.0037992818251146,0.0032452769664872002,139.52260287822136,0.0,0.9111111111111112,0.9242087047182428,L1_halfwave_dipole_z_1p2G:region_shape_pass; L1_short_dipole_z_1p2G:region_shape_pass
eh_love_equivalence_minus_j12,eh_love_equivalence_minus,real_eh_j_scale_scan,12.0,2,2,2,0,2,0,region_shape_pass,1,0.9989464612544644,0.998967172467421,0.0008217956031988,0.0007585745570459,0.0037911552851576,0.00325550671197,139.52260287822136,0.0,0.9111111111111112,0.9242087047182428,L1_halfwave_dipole_z_1p2G:region_shape_pass; L1_short_dipole_z_1p2G:region_shape_pass
eh_love_equivalence_minus_j24,eh_love_equivalence_minus,real_eh_j_scale_scan,24.0,2,2,2,0,2,0,region_shape_pass,1,0.9989461943314358,0.9989816739750421,0.000790617454224,0.0007431532688209,0.0038149773867776,0.00322477109056425,139.52260287822136,0.0,0.9125,0.9253862964972204,L1_halfwave_dipole_z_1p2G:region_shape_pass; L1_short_dipole_z_1p2G:region_shape_pass
eh_love_equivalence_minus_j8,eh_love_equivalence_minus,real_eh_j_scale_scan,8.0,2,2,2,0,2,0,region_shape_pass,1,0.9989460328134728,0.9989614192188758,0.0008335929908889,0.0007645896914585,0.003782845176347,0.0032657238640397,139.52260287822136,0.0,0.9111111111111112,0.9242087047182428,L1_halfwave_dipole_z_1p2G:region_shape_pass; L1_short_dipole_z_1p2G:region_shape_pass
eh_love_equivalence_minus_j4,eh_love_equivalence_minus,real_eh_j_scale_scan,4.0,2,2,2,0,2,0,region_shape_pass,1,0.9989453471307796,0.9989551956622427,0.0008461201855707,0.0007710554030717,0.0037743533008286,0.0032759308226856503,139.52260287822136,0.0,0.9097222222222222,0.923031112892598,L1_halfwave_dipole_z_1p2G:region_shape_pass; L1_short_dipole_z_1p2G:region_shape_pass
eh_love_equivalence_minus_j2,eh_love_equivalence_minus,real_eh_j_scale_scan,2.0,2,2,2,0,2,0,region_shape_pass,1,0.9989449081622463,0.9989519055821078,0.0008526625512715,0.0007744596537887,0.0037700397851061,0.00328103128277715,139.52260287822136,0.0,0.9097222222222222,0.923031112892598,L1_halfwave_dipole_z_1p2G:region_shape_pass; L1_short_dipole_z_1p2G:region_shape_pass
eh_love_equivalence_minus_j32,eh_love_equivalence_minus,real_eh_j_scale_scan,32.0,2,2,2,0,2,0,region_shape_pass,1,0.9989447166542076,0.9989891086027921,0.0007731770506629,0.000734978048091,0.003829919045442,0.0032041910630897,139.52260287822136,0.0,0.9125,0.9253862964972204,L1_halfwave_dipole_z_1p2G:region_shape_pass; L1_short_dipole_z_1p2G:region_shape_pass
