sample_id,frequency_hz,variant,variant_family,impedance_ohm,impedance_factor_to_eta0,calibration_mode,model_note,sensor_count,farfield_points,farfield_shape,electric_current_l2,magnetic_current_l2,predicted_peak_power,reference_peak_power,best_power_scale,scaled_power_nmse,nmse,correlation,main_lobe_error_deg,peak_error_db,main_lobe_region_threshold,reference_lobe_region_points,predicted_lobe_region_points,main_lobe_region_jaccard,reference_lobe_region_capture,predicted_lobe_region_precision,main_lobe_region_min_capture,true_peak_to_pred_region_error_deg,pred_peak_to_true_region_error_deg,main_lobe_region_error_deg,status
L1_halfwave_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p0312,outgoing_equivalence_minus,11.772822302125,0.03125,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=11.7728 ohm, M sign flipped",96,2664,37x72,1.1578826568680036,13.631546766020165,0.07938430623421709,0.0021655445958506294,0.02845153626268817,0.0008012910468817934,0.002497601530353148,0.9989985078768625,24.984524595905555,15.64167521949444,0.75,720,656,0.9111111111111111,0.9241479246409939,1.0,0.9241479246409939,0.0,0.0,0.0,region_shape_pass
L1_halfwave_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p0625,outgoing_equivalence_minus,23.54564460425,0.0625,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=23.5456 ohm, M sign flipped",96,2664,37x72,0.5789413284340018,13.631546766020165,0.07934191709795457,0.0021655445958506294,0.028508426730350058,0.0008216352477356673,0.0026353231220619354,0.9989850043762559,19.987691420933665,15.639355581564093,0.75,720,657,0.9125,0.9253862964972203,1.0,0.9253862964972203,0.0,0.0,0.0,region_shape_pass
L1_halfwave_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p0156,outgoing_equivalence_minus,5.8864111510625,0.015625,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=5.88641 ohm, M sign flipped",96,2664,37x72,2.3157653137360072,13.631546766020165,0.08003326203701187,0.0021655445958506294,0.02824769679975492,0.0008088445274005603,0.002581046411927958,0.9989722918556112,139.80864822947711,15.67703386710603,0.75,720,654,0.9083333333333333,0.9216711815219153,1.0,0.9216711815219153,0.0,0.0,0.0,region_shape_pass
L1_halfwave_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p125,outgoing_equivalence_minus,47.0912892085,0.125,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=47.0913 ohm, M sign flipped",96,2664,37x72,0.2894706642170009,13.631546766020165,0.07936059695440281,0.0021655445958506294,0.028525411698277055,0.0008382811408981045,0.002720279745175079,0.9989712076048372,19.987691420933665,15.640377942005465,0.75,720,656,0.9111111111111111,0.9242087047182428,1.0,0.9242087047182428,0.0,0.0,0.0,region_shape_pass
L1_halfwave_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p188,outgoing_equivalence_minus,70.63693381275,0.1875,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=70.6369 ohm, M sign flipped",96,2664,37x72,0.19298044281133392,13.631546766020165,0.07937067861268023,0.0021655445958506294,0.028529366673135617,0.0008448170585966906,0.0027489053978656335,0.9989655408688849,19.987691420933665,15.640929617602925,0.75,720,656,0.9111111111111111,0.9242087047182428,1.0,0.9242087047182428,0.0,0.0,0.0,region_shape_pass
L1_halfwave_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p25,outgoing_equivalence_minus,94.182578417,0.25,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=94.1826 ohm, M sign flipped",96,2664,37x72,0.14473533210850045,13.631546766020165,0.07937644226171776,0.0021655445958506294,0.028531023634915238,0.0008482723709459454,0.0027632721549543243,0.9989625054107432,19.987691420933665,15.641244977145819,0.75,720,655,0.9097222222222222,0.9230311128925981,1.0,0.9230311128925981,0.0,0.0,0.0,region_shape_pass
L1_halfwave_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p375,outgoing_equivalence_minus,141.2738676255,0.375,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=141.274 ohm, M sign flipped",96,2664,37x72,0.09649022140566696,13.631546766020165,0.07938268779068816,0.0021655445958506294,0.02853246678997483,0.0008518532271891197,0.002777673825225118,0.9989593346934876,19.987691420933665,15.641586677023982,0.75,720,655,0.9097222222222222,0.9230311128925981,1.0,0.9230311128925981,0.0,0.0,0.0,region_shape_pass
L1_halfwave_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p5,outgoing_equivalence_minus,188.365156834,0.5,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=188.365 ohm, M sign flipped",96,2664,37x72,0.07236766605425023,13.631546766020165,0.07938599126014823,0.0021655445958506294,0.028533108164551207,0.0008536908823285646,0.0027848875113948594,0.9989576984904344,19.987691420933665,15.641767402664131,0.75,720,655,0.9097222222222222,0.9230311128925981,1.0,0.9230311128925981,0.0,0.0,0.0,region_shape_pass
L1_halfwave_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p75,outgoing_equivalence_minus,282.547735251,0.75,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=282.548 ohm, M sign flipped",96,2664,37x72,0.04824511070283348,13.631546766020165,0.07938941519959127,0.0021655445958506294,0.02853369605813204,0.0008555601002802521,0.002792109637064355,0.9989560283267922,19.987691420933665,15.641954711018727,0.75,720,655,0.9097222222222222,0.9230311128925981,1.0,0.9230311128925981,0.0,0.0,0.0,region_shape_pass
L1_halfwave_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus,outgoing_equivalence_minus,376.730313668,1.0,fixed_eta0,"J=-E_t/eta_eff, eta_eff=376.73 ohm, M sign flipped",96,2664,37x72,0.03618383302712511,13.631546766020165,0.07939117234555651,0.0021655445958506294,0.028533969946864152,0.0008565065634761924,0.002795723834903706,0.9989551804948376,19.987691420933665,15.64205083344886,0.75,720,655,0.9097222222222222,0.9230311128925981,1.0,0.9230311128925981,0.0,0.0,0.0,region_shape_pass
