sample_id,frequency_hz,theta_deg,phi_deg,reference_power,predicted_power,reference_power_norm,predicted_power_norm,predicted_e_theta_real,predicted_e_theta_imag,predicted_e_phi_real,predicted_e_phi_imag
L1_short_dipole_z_1p2G,1200000000.0,2.0,0.0,4.7518912788995364e-11,8.071450148625521e-11,0.0012139789423157642,0.0014041729677076408,-1.7811467167606244e-06,8.606983584124499e-06,-1.7866409785601863e-06,-5.193895031370415e-07
L1_short_dipole_z_1p2G,1200000000.0,2.0,5.0,4.7518909020981997e-11,8.028182449432023e-11,0.001213978846053274,0.0013966457783595454,-1.9316787300366314e-06,8.566451393836964e-06,-1.696593155341952e-06,-5.365854643203512e-07
L1_short_dipole_z_1p2G,1200000000.0,2.0,10.0,4.7518906963713716e-11,7.981674321087477e-11,0.0012139787934956662,0.0013885548584631736,-2.0749242427412477e-06,8.524463695936293e-06,-1.5940554849819346e-06,-5.51306090318782e-07
L1_short_dipole_z_1p2G,1200000000.0,2.0,14.999999999999998,4.751890663278459e-11,7.9317576152211e-11,0.0012139787850413274,0.0013798709556050836,-2.2099020962892094e-06,8.48100868199171e-06,-1.4795287582922534e-06,-5.633784397676054e-07
L1_short_dipole_z_1p2G,1200000000.0,2.0,20.0,4.751890803062042e-11,7.878314479709559e-11,0.00121397882075223,0.0013705735673027323,-2.3356508899059297e-06,8.436104093445633e-06,-1.3535785438724366e-06,-5.725841140786508e-07
L1_short_dipole_z_1p2G,1200000000.0,2.0,25.0,4.751891114639177e-11,7.821299834297794e-11,0.0012139789003517113,0.0013606548510402933,-2.4512288792504674e-06,8.389810919416259e-06,-1.2168375433049472e-06,-5.786660990188562e-07
L1_short_dipole_z_1p2G,1200000000.0,2.0,29.999999999999996,4.751891595638132e-11,7.760761041535362e-11,0.0012139790232338582,0.0013501230463794991,-2.5557148704131974e-06,8.342245274477838e-06,-1.070009633140954e-06,-5.813390421606218e-07
L1_short_dipole_z_1p2G,1200000000.0,2.0,35.0,4.751892242395096e-11,7.696853422692325e-11,0.001213979188462667,0.001339005174230436,-2.648210748729375e-06,8.293587588242612e-06,-9.138752941301584e-07,-5.80302438530171e-07
L1_short_dipole_z_1p2G,1200000000.0,2.0,40.0,4.7518930499784695e-11,7.629850523059757e-11,0.0012139793947782479,0.001327348822683979,-2.72784618019945e-06,8.244088404855047e-06,-7.492979339918495e-07,-5.752559663479895e-07
L1_short_dipole_z_1p2G,1200000000.0,2.0,45.0,4.751894012236303e-11,7.560148387358831e-11,0.0012139796406089452,0.001315222890795594,-2.793785868320944e-06,8.194070321474069e-06,-5.77230454355384e-07,-5.659160404698171e-07
L1_short_dipole_z_1p2G,1200000000.0,2.0,50.0,4.7518951218502915e-11,7.48826353262923e-11,0.0012139799240851313,0.0013027172359330553,-2.8452395560616024e-06,8.143925869916794e-06,-3.987213085622866e-07,-5.520325518599836e-07
L1_short_dipole_z_1p2G,1200000000.0,2.0,55.0,4.7518963703648675e-11,7.414824763095716e-11,0.0012139802430466385,0.0012899412498262426,-2.8814747486894752e-06,8.094111439390599e-06,-2.1491925199842008e-07,-5.334047482622957e-07
L1_short_dipole_z_1p2G,1200000000.0,2.0,59.99999999999999,4.751897748277975e-11,7.340559415183093e-11,0.00121398059506595,0.001277021465641728,-2.901831916644158e-06,8.04513762259494e-06,-2.707600224785148e-08,-5.098952862950589e-07
L1_short_dipole_z_1p2G,1200000000.0,2.0,65.0,4.7518992451075405e-11,7.266275006504785e-11,0.0012139809774651814,0.00126409836549646,-2.905741734815715e-06,7.997556614613174e-06,1.634539014011012e-07,-4.814416410862677e-07
L1_short_dipole_z_1p2G,1200000000.0,2.0,70.0,4.751900849459741e-11,7.19283755302514e-11,0.001213981387333521,0.001251322608340732,-2.8927437397190355e-06,7.951947480602269e-06,3.552166285345505e-07,-4.48064280124538e-07
