sample_id,frequency_hz,theta_deg,phi_deg,reference_power,predicted_power,reference_power_norm,predicted_power_norm,predicted_e_theta_real,predicted_e_theta_imag,predicted_e_phi_real,predicted_e_phi_imag
L1_short_dipole_x_1p2G,1200000000.0,2.0,0.0,3.936494803863294e-08,2.0052081283891873e-11,0.9983653440717613,0.6478668188728558,2.5724111285421407e-06,-3.634988471256388e-06,3.437949985762379e-07,-3.2163035060693765e-07
L1_short_dipole_x_1p2G,1200000000.0,2.0,5.0,3.936526342162356e-08,2.0031872491550298e-11,0.9983733427473249,0.6472138888441851,2.6175161511298952e-06,-3.6286800044598876e-06,1.1442326964267827e-07,-8.392301335321464e-09
L1_short_dipole_x_1p2G,1200000000.0,2.0,10.0,3.9366298802067355e-08,2.000056778429712e-11,0.9983996018434123,0.6462024586182287,2.6413694244107325e-06,-3.5941515042220917e-06,-1.2019735864125606e-07,3.0226297781729273e-07
L1_short_dipole_x_1p2G,1200000000.0,2.0,14.999999999999998,3.9368021523335014e-08,1.9958312028615638e-11,0.9984432931296153,0.6448372087159943,2.6431878333953803e-06,-3.5318846799709924e-06,-3.5799730294940557e-07,6.07864001626536e-07
L1_short_dipole_x_1p2G,1200000000.0,2.0,20.0,3.937037802112699e-08,1.990566902725025e-11,0.9985030581196918,0.6431363551563236,2.6224300522269665e-06,-3.4426029561978046e-06,-5.967759112697564e-07,9.060204446553124e-07
L1_short_dipole_x_1p2G,1200000000.0,2.0,25.0,3.9373295460437915e-08,1.9843607379630207e-11,0.9985770495879036,0.6411311926174152,2.578819489145443e-06,-3.3272563300721232e-06,-8.342371066330057e-07,1.1944501605112786e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,29.999999999999996,3.937668395803161e-08,1.977347123585535e-11,0.9986629879349502,0.6388651495213339,2.5123603105121e-06,-3.1870019933531065e-06,-1.068028949024489e-06,1.471002843106656e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,35.0,3.938043932293928e-08,1.9696937315472753e-11,0.9987582306918944,0.6363923993448236,2.4233459326402247e-06,-3.023181633766069e-06,-1.2957855270022782e-06,1.7336794638859236e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,40.0,3.938444623163857e-08,1.961596017331698e-11,0.9988598530483701,0.6337760922020823,2.3123597749658247e-06,-2.837296533353908e-06,-1.515169521404654e-06,1.980646901308072e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,45.0,3.9388581741194505e-08,1.9532708157725392e-11,0.9989647369521077,0.6310862857055665,2.1802684686369545e-06,-2.630981690402366e-06,-1.7239138223350497e-06,2.2102475065753448e-06
