sample_id,frequency_hz,theta_deg,phi_deg,reference_power,predicted_power,reference_power_norm,predicted_power_norm,predicted_e_theta_real,predicted_e_theta_imag,predicted_e_phi_real,predicted_e_phi_imag
L1_short_dipole_x_1p2G,1200000000.0,2.0,0.0,3.936494803863294e-08,7.87474643619232e-12,0.9983653440717613,0.4393786239083119,-2.0898540397515697e-06,-1.8169754219139323e-06,4.0992362912329315e-07,1.9447226839177083e-07
L1_short_dipole_x_1p2G,1200000000.0,2.0,5.0,3.936526342162356e-08,7.837190637124e-12,0.9983733427473249,0.43728316401660344,-2.0481315122283316e-06,-1.7844089391049198e-06,5.775334431358977e-07,3.531116053648424e-07
L1_short_dipole_x_1p2G,1200000000.0,2.0,10.0,3.9366298802067355e-08,7.79950508903696e-12,0.9983996018434123,0.4351804646606454,-1.9936858347865596e-06,-1.7372872662315249e-06,7.40854877921704e-07,5.076306587055136e-07
L1_short_dipole_x_1p2G,1200000000.0,2.0,14.999999999999998,3.9368021523335014e-08,7.76231435913075e-12,0.9984432931296153,0.4331053741341449,-1.9269291950410903e-06,-1.6761781418226938e-06,8.991480426608089e-07,6.56671813529486e-07
L1_short_dipole_x_1p2G,1200000000.0,2.0,20.0,3.937037802112699e-08,7.726263100195197e-12,0.9985030581196918,0.43109386142454653,-1.8482743570300523e-06,-1.6017894146328734e-06,1.0517005652004208e-06,7.989628237080469e-07
L1_short_dipole_x_1p2G,1200000000.0,2.0,25.0,3.9373295460437915e-08,7.692001990669799e-12,0.9985770495879036,0.42918223172588665,-1.7581365912026124e-06,-1.514954033825611e-06,1.1978157239079695e-06,9.333324618262198e-07
L1_short_dipole_x_1p2G,1200000000.0,2.0,29.999999999999996,3.937668395803161e-08,7.660174476322291e-12,0.9986629879349502,0.42740638667871683,-1.6569388385492657e-06,-1.4166131241944755e-06,1.3368023828229592e-06,1.0587231967176906e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,35.0,3.938043932293928e-08,7.631404448742445e-12,0.9987582306918944,0.42580113688048343,-1.545119369687901e-06,-1.307797793174748e-06,1.4679673751608229e-06,1.1742007067739365e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,40.0,3.938444623163857e-08,7.606284887518642e-12,0.9988598530483701,0.4243995681654618,-1.4231411059912368e-06,-1.1896103092692468e-06,1.5906107162749788e-06,1.278960179719528e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,45.0,3.9388581741194505e-08,7.585367409837725e-12,0.9989647369521077,0.42323245851519625,-1.2915017662469896e-06,-1.0632052546483983e-06,1.7040237653866725e-06,1.3723294761477987e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,50.0,3.939271903387892e-08,7.569152618777636e-12,0.9990696660791665,0.4223277395327287,-1.15074407863451e-06,-9.297711957861373e-07,1.8074902251162373e-06,1.4537693399782921e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,55.0,3.939673127928828e-08,7.558081121550089e-12,0.9991714237841348,0.4217099952972969,-1.0014654346368447e-06,-7.905133428851626e-07,1.900289692142342e-06,1.522870922119078e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,59.99999999999999,3.9400495496217144e-08,7.55252509994665e-12,0.9992668910441362,0.4213999920297245,-8.443265334595626e-07,-6.466375886113385e-07,1.9817033653357874e-06,1.5793509444244929e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,65.0,3.9403896297588357e-08,7.552780353136402e-12,0.9993531414369415,0.4214142341130945,-6.800587447147659e-07,-4.993362350243498e-07,2.051021483422977e-06,1.623044871777271e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,70.0,3.9406829403978976e-08,7.559058791888595e-12,0.9994275302502583,0.4217645453010906,-5.094700769600989e-07,-3.497756386038203e-07,2.1075520964649163e-06,1.6538984841568997e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,75.0,3.9409204819246076e-08,7.571481436477057e-12,0.9994877750212694,0.4224576780297198,-3.334497582579457e-07,-1.990859292092469e-07,2.1506308592281073e-06,1.6719582516682166e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,80.0,3.9410949571433766e-08,7.590072050976911e-12,0.9995320250509271,0.42349495823711975,-1.5297149765742373e-07,-4.8352890355214127e-08,2.179631648482916e-06,1.6773609172766905e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,85.0,3.941200993616678e-08,7.61475162771079e-12,0.999558917793183,0.42487197761823065,3.090450221860331e-08,1.0138797530629423e-07,2.1939779256315846e-06,1.6703226873146488e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,90.0,3.941235307421482e-08,7.64533401095357e-12,0.9995676203865425,0.42657834944542905,2.1703076768227494e-07,2.491552314453852e-07,2.1931548660430166e-06,1.6511284205136943e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,95.0,3.941196803409046e-08,7.681523012768508e-12,0.9995578550817372,0.4285975476439874,4.041730992771268e-07,3.9402323911425477e-07,2.1767223354760576e-06,1.6201211929565015e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,100.0,3.941086608860835e-08,7.722911420232573e-12,0.9995299077774675,0.4309068513993106,5.910126545309213e-07,5.351219868335371e-07,2.144328796437144e-06,1.5776925981935275e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,105.00000000000001,3.940908039571366e-08,7.768982316478885e-12,0.9994846194184059,0.4334774188656982,7.76149911107823e-07,6.716352332873796e-07,2.0957261657472877e-06,1.5242741169407115e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,110.0,3.940666499336431e-08,7.819113132035218e-12,0.9994233605036167,0.436274513214452,9.581109571416894e-07,8.027972377522046e-07,2.030785520710931e-06,1.4603298564942502e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,115.0,3.94036931592361e-08,7.872582802180715e-12,0.9993479894857501,0.4392579019850903,1.1353566109157442e-06,9.278884147966845e-07,1.949513376095363e-06,1.3863509131320201e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,119.99999999999999,3.940025518529704e-08,7.92858232571124e-12,0.9992607963302756,0.44238244622124223,1.3062948598039073e-06,1.0462303078456516e-06,1.852068046982373e-06,1.3028515484326001e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,125.00000000000001,3.9396455634170775e-08,7.986228897726585e-12,0.9991644329319608,0.4455988890223365,1.4692970168725827e-06,1.1571803259946882e-06,1.738775399107768e-06,1.2103672907528378e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,130.0,3.939241016169388e-08,8.044583624079515e-12,0.9990618325292532,0.44885484393736164,1.622717820610244e-06,1.260126723755929e-06,1.6101430977488872e-06,1.1094549759234133e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,135.0,3.9388242000950265e-08,8.10267262248011e-12,0.9989561205331173,0.4520959723201323,1.764919457187354e-06,1.3544843172769197e-06,1.4668723278685736e-06,1.0006946287983724e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,140.0,3.93840782159486e-08,8.159511084563076e-12,0.9988505195136075,0.45526732589417246,1.8942991839231187e-06,1.439691416301998e-06,1.3098658978973838e-06,8.846929646510765e-07
L1_short_dipole_x_1p2G,1200000000.0,2.0,145.0,3.938004583778764e-08,8.214129629502197e-12,0.9987482512061239,0.4583148171765494,2.0093199044238847e-06,1.5152084033862936e-06,1.1402316761018058e-06,7.620881643942604e-07
L1_short_dipole_x_1p2G,1200000000.0,2.0,150.0,3.937626800095304e-08,8.26560204273922e-12,0.998652438521003,0.461186767185426,2.1085427233975624e-06,1.5805183077634913e-06,9.592804510047044e-07,6.33555460469761e-07
L1_short_dipole_x_1p2G,1200000000.0,2.0,155.0,3.937286019770426e-08,8.313073286073804e-12,0.9985660105480852,0.4638354682884486,2.1906602281418215e-06,1.6351296014614328e-06,7.685175531922966e-07,4.998129727921527e-07
L1_short_dipole_x_1p2G,1200000000.0,2.0,160.0,3.9369926763545354e-08,8.355786511550112e-12,0.9984916134219797,0.4662186914670657,2.254529038178171e-06,1.6785812945850825e-06,5.696279102376149e-07,3.6162716837776535e-07
