sample_id,frequency_hz,theta_deg,phi_deg,reference_power,predicted_power,reference_power_norm,predicted_power_norm,predicted_e_theta_real,predicted_e_theta_imag,predicted_e_phi_real,predicted_e_phi_imag
L1_short_dipole_x_1p2G,1200000000.0,2.0,0.0,3.936494803863294e-08,3.938789055300339e-11,0.9983653440717613,0.3506226783406116,-4.431125931046109e-06,-3.7848346044928837e-06,2.1240837387300355e-06,9.572402121254474e-07
L1_short_dipole_x_1p2G,1200000000.0,2.0,5.0,3.936526342162356e-08,3.832125695893293e-11,0.9983733427473249,0.34112773148485676,-4.134095050078754e-06,-3.6380182880568825e-06,2.5154897281807254e-06,1.291375018740955e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,10.0,3.9366298802067355e-08,3.722525148730411e-11,0.9983996018434123,0.3313713223818778,-3.8016001214225636e-06,-3.456887090485538e-06,2.8727876247624286e-06,1.6031565459275464e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,14.999999999999998,3.9368021523335014e-08,3.611466134611047e-11,0.9984432931296153,0.321485083632433,-3.4382952872017714e-06,-3.245214417514394e-06,3.1927408224361445e-06,1.8888558148315727e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,20.0,3.937037802112699e-08,3.500397731861413e-11,0.9985030581196918,0.3115980091269614,-3.0491159383639876e-06,-3.0072222812662403e-06,3.472846059374703e-06,2.1454192392095062e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,25.0,3.9373295460437915e-08,3.390704930815448e-11,0.9985770495879036,0.30183338777825924,-2.6391426031747005e-06,-2.747451161254054e-06,3.7113482770437603e-06,2.3705235099595224e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,29.999999999999996,3.937668395803161e-08,3.283679522292312e-11,0.9986629879349502,0.29230621207526425,-2.213468012344076e-06,-2.4706240920947625e-06,3.907227729151537e-06,2.562604661152973e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,35.0,3.938043932293928e-08,3.1804972305046526e-11,0.9987582306918944,0.2831211425028718,-1.7770734642658851e-06,-2.1815102179379144e-06,4.0601612435914965e-06,2.7208612703918954e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,40.0,3.938444623163857e-08,3.082201494456048e-11,0.9988598530483701,0.27437106379620807,-1.334719900119142e-06,-1.8847927651824935e-06,4.1704609400247515e-06,2.8452327695339823e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,45.0,3.9388581741194505e-08,2.9896938160914816e-11,0.9989647369521077,0.26613622575338153,-8.908580544902526e-07,-1.584945918237335e-06,4.238994865306813e-06,2.936354722411776e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,50.0,3.939271903387892e-08,2.9037301716681367e-11,0.9990696660791665,0.2584839237832942,-4.49560751854607e-07,-1.2861244906414688e-06,4.267094850766656e-06,2.99549364482821e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,55.0,3.939673127928828e-08,2.8249226572686676e-11,0.9991714237841348,0.25146864538575603,-1.4478969713920221e-08,-9.92069614811565e-07,4.256457367543397e-06,3.024464496365574e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,59.99999999999999,3.9400495496217144e-08,2.7537453285611067e-11,0.9992668910441362,0.2451325899945713,4.111782083497807e-07,-7.060329685077052e-07,4.209043236473222e-06,3.025534373869938e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,65.0,3.9403896297588357e-08,2.6905431029673453e-11,0.9993531414369415,0.23950646142976487,8.246410655596839e-07,-4.3072134398024607e-07,4.126981745418741e-06,3.001316201183469e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,70.0,3.9406829403978976e-08,2.6355426105359432e-11,0.9994275302502583,0.2346104338193499,1.2235567493426337e-06,-1.682626639468932e-07,4.012484075846338e-06,2.95465635962942e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,75.0,3.9409204819246076e-08,2.5888639890405982e-11,0.9994877750212694,0.23045520157406849,1.6059504359198655e-06,7.980613619585367e-08,3.867770002354076e-06,2.8885202573792375e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,80.0,3.9410949571433766e-08,2.5505327936510756e-11,0.9995320250509271,0.2270430395611305,1.9701745493237285e-06,3.125296088686507e-07,3.695010682281722e-06,2.8058798055355417e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,85.0,3.941200993616678e-08,2.52049140381993e-11,0.999558917793183,0.22436881852116483,2.3148508307562173e-06,5.295035823754335e-07,3.4962890870844604e-06,2.709606658785042e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,90.0,3.941235307421482e-08,2.4986095325979953e-11,0.9995676203865425,0.2224209405852762,2.638810116462402e-06,7.308257876565668e-07,3.2735783361465287e-06,2.6023748846858945e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,95.0,3.941196803409046e-08,2.484693653017818e-11,0.9995578550817372,0.22118217839177887,2.9410344124325287e-06,9.170295088019913e-07,3.028736967257848e-06,2.4865764372361325e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,100.0,3.941086608860835e-08,2.4784953346884507e-11,0.9995299077774675,0.22063041719224827,3.220605288823173e-06,1.0890030528767754e-06,2.7635190968418814e-06,2.3642524130692996e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,105.00000000000001,3.940908039571366e-08,2.479718620061009e-11,0.9994846194184059,0.2207393114710937,3.4766618108843103e-06,1.2478984002678471e-06,2.4795965537297566e-06,2.237042549145899e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,110.0,3.940666499336431e-08,2.4880266591040847e-11,0.9994233605036167,0.22147887555034332,3.7083702448234134e-06,1.3950328863537259e-06,2.1785894615363243e-06,2.106154771716372e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,115.0,3.94036931592361e-08,2.503047864113283e-11,0.9993479894857501,0.22281603147778278,3.914906703181304e-06,1.531788139978469e-06,1.862101425256602e-06,1.9723558306749718e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,119.99999999999999,3.940025518529704e-08,2.5243818480733673e-11,0.9992607963302756,0.22471513764740475,4.095452804670703e-06,1.6595107216394457e-06,1.5317554555375364e-06,1.8359831683986821e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,125.00000000000001,3.9396455634170775e-08,2.551605378124819e-11,0.9991644329319608,0.22713851876442126,4.249203395598284e-06,1.779418924199467e-06,1.1892270267998562e-06,1.6969772111062012e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,130.0,3.939241016169388e-08,2.5842785191737002e-11,0.9990618325292532,0.23004701273643108,4.375384484545304e-06,1.8925199893944476e-06,8.362711817382734e-07,1.5549322829222295e-06
