sample_id,frequency_hz,theta_deg,phi_deg,reference_power,predicted_power,reference_power_norm,predicted_power_norm,predicted_e_theta_real,predicted_e_theta_imag,predicted_e_phi_real,predicted_e_phi_imag
L1_short_dipole_x_1p2G,1200000000.0,2.0,0.0,3.936494803863294e-08,2.6317936380350238e-11,0.9983653440717613,0.27146443320723745,4.85733012596472e-06,-7.756600094716297e-07,-1.0074346500159373e-06,1.0524767947083357e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,5.0,3.936526342162356e-08,2.6626237795833093e-11,0.9983733427473249,0.27464450279177866,4.7742843639598665e-06,-7.062935015463925e-07,-1.451236013166933e-06,1.1079305626446591e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,10.0,3.9366298802067355e-08,2.6901555830846572e-11,0.9983996018434123,0.27748435517406755,4.647368714076966e-06,-6.31962968401791e-07,-1.8881859829767261e-06,1.1571068950292286e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,14.999999999999998,3.9368021523335014e-08,2.714345452832882e-11,0.9984432931296153,0.2799794935411705,4.4771905211750986e-06,-5.533409374661916e-07,-2.3136837592681258e-06,1.1995419269252843e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,20.0,3.937037802112699e-08,2.735232305071288e-11,0.9985030581196918,0.2821339320284585,4.2649309260134435e-06,-4.7114620432157476e-07,-2.723199890690778e-06,1.2348647118377366e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,25.0,3.9373295460437915e-08,2.752929020460388e-11,0.9985770495879036,0.28395931405815233,4.012327014116496e-06,-3.861251556342104e-07,-3.1123564632388914e-06,1.262801150742443e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,29.999999999999996,3.937668395803161e-08,2.767610768210785e-11,0.9986629879349502,0.28547370799616983,3.721641112873103e-06,-2.990334369811882e-07,-3.4770015884932795e-06,1.2831734357688877e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,35.0,3.938043932293928e-08,2.7795008471127343e-11,0.9987582306918944,0.28670014668165766,3.395619080701877e-06,-2.1061910258510864e-07,-3.813276060798791e-06,1.2958953691042289e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,40.0,3.938444623163857e-08,2.7888548223282455e-11,0.9988598530483701,0.2876649911677205,3.037439790237092e-06,-1.2160821597951393e-07,-4.117670620235644e-06,1.300964199746245e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,45.0,3.9388581741194505e-08,2.795943817472958e-11,0.9989647369521077,0.28839620733191984,2.6506581941326357e-06,-3.269363542708342e-08,-4.3870728796688234e-06,1.2984498401108756e-06
