sample_id,frequency_hz,theta_deg,phi_deg,reference_power,predicted_power,reference_power_norm,predicted_power_norm,predicted_e_theta_real,predicted_e_theta_imag,predicted_e_phi_real,predicted_e_phi_imag
L1_short_dipole_x_1p2G,1200000000.0,2.0,0.0,3.936494803863294e-08,1.2989581241124037e-06,0.9983653440717613,0.9957298813845403,0.0005530801863688659,-0.0009965181521324798,-3.158458567387008e-06,-1.4241378199574629e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,5.0,3.936526342162356e-08,1.2991818910652843e-06,0.9983733427473249,0.9959014122732684,0.0005508600570353757,-0.0009928625693475166,-5.1457230888195e-05,8.55053238473101e-05
L1_short_dipole_x_1p2G,1200000000.0,2.0,10.0,3.9366298802067355e-08,1.2994229375484298e-06,0.9983996018434123,0.9960861889659233,0.0005444233735271296,-0.000981650576728275,-9.938757391324718e-05,0.00017178586457113667
L1_short_dipole_x_1p2G,1200000000.0,2.0,14.999999999999998,3.9368021523335014e-08,1.2996784867357454e-06,0.9984432931296153,0.9962820828575355,0.0005338167656738954,-0.0009629674114726957,-0.0001465796486762432,0.0002567612090186758
L1_short_dipole_x_1p2G,1200000000.0,2.0,20.0,3.937037802112699e-08,1.2999452448917125e-06,0.9985030581196918,0.9964865691008322,0.0005191196340724498,-0.0009369551115883064,-0.0001926689108865938,0.00033978502035627884
L1_short_dipole_x_1p2G,1200000000.0,2.0,25.0,3.9373295460437915e-08,1.300219470627577e-06,0.9985770495879036,0.9966967796952897,0.0005004435812889349,-0.0009038114282209798,-0.0002372991009885669,0.0004202258100848317
L1_short_dipole_x_1p2G,1200000000.0,2.0,29.999999999999996,3.937668395803161e-08,1.3004970586924475e-06,0.9986629879349502,0.9969095677180723,0.000477931551882173,-0.0008637883156442098,-0.00028012517148104816,0.0004974717323297859
L1_short_dipole_x_1p2G,1200000000.0,2.0,35.0,3.938043932293928e-08,1.3007736358172105e-06,0.9987582306918944,0.9971215807941843,0.0004517566893595599,-0.0008171900111814162,-0.0003208161191603222,0.0005709352264034224
L1_short_dipole_x_1p2G,1200000000.0,2.0,40.0,3.938444623163857e-08,1.3010446657623301e-06,0.9988598530483701,0.9973293416219555,0.00042212092257671804,-0.0007643707203925991,-0.0003590576914130137,0.0006400574728326876
L1_short_dipole_x_1p2G,1200000000.0,2.0,45.0,3.9388581741194505e-08,1.3013055604419123e-06,0.9989647369521077,0.9975293331563491,0.0003892532981318138,-0.0007057319257345606,-0.00039455493789395307,0.000704312629673716
