sample_id,frequency_hz,variant,variant_family,impedance_ohm,impedance_factor_to_eta0,calibration_mode,hfield_j_scale,uses_real_hfield,model_note,sensor_count,farfield_points,farfield_shape,electric_current_l2,magnetic_current_l2,predicted_peak_power,reference_peak_power,best_power_scale,scaled_power_nmse,nmse,correlation,main_lobe_error_deg,peak_error_db,main_lobe_region_threshold,reference_lobe_region_points,predicted_lobe_region_points,main_lobe_region_jaccard,reference_lobe_region_capture,predicted_lobe_region_precision,main_lobe_region_min_capture,true_peak_to_pred_region_error_deg,pred_peak_to_true_region_error_deg,main_lobe_region_error_deg,status
L1_short_dipole_x_1p2G,1200000000.0,eh_love_equivalence_minus,eh_love_equivalence_minus,376.730313668,1.0,real_eh_surface_currents,1.0,True,"J=1*(n_cross_H_t) from real CST H-field, M contribution sign flipped for convention check",96,2664,37x72,0.00015818306013734828,0.05849825910878848,1.3045286160401566e-06,3.9429401543613114e-08,0.030904194438037495,0.0010900533149587161,0.0015725074964021725,0.9954897707843685,168.833333,15.196334247559255,0.75,1678,1629,0.9556475458308693,0.9694547386679061,0.9933545267164458,0.9694547386679061,0.0,8.537736462515939e-07,8.537736462515939e-07,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,outgoing_equivalence_plus,outgoing_equivalence_plus,376.730313668,1.0,fixed_eta0,,False,"J=-E_t/eta_eff, eta_eff=376.73 ohm, M=-n_cross_E_t",96,2664,37x72,0.00015527887453288116,0.05849825910878848,1.3051136403014128e-06,3.9429401543613114e-08,0.0309052685984957,0.001092924445292194,0.0015963403426630248,0.9954778745908239,166.44444400000003,15.198281432558133,0.75,1678,1628,0.9550561797752809,0.9689505637568215,0.9933510198110542,0.9689505637568215,0.0,0.0,0.0,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,magnetic_only_plus,magnetic_only_plus,376.730313668,1.0,not_used,,False,"J=0, M=-n_cross_E_t; eta_eff not used",96,2664,37x72,0.0,0.05849825910878848,1.304615370581951e-06,3.9429401543613114e-08,0.03090470538470655,0.0010932774835444073,0.0015793020618971563,0.9954763802944038,166.44444400000003,15.19662305506845,0.75,1678,1629,0.9556475458308693,0.9694547386679061,0.993354496827291,0.9694547386679061,0.0,0.0,0.0,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,magnetic_only_minus,magnetic_only_minus,376.730313668,1.0,not_used,,False,"J=0, M sign flipped; eta_eff not used",96,2664,37x72,0.0,0.05849825910878848,1.304615370581951e-06,3.9429401543613114e-08,0.03090470538470655,0.0010932774835444073,0.0015793020618971563,0.9954763802944038,166.44444400000003,15.19662305506845,0.75,1678,1629,0.9556475458308693,0.9694547386679061,0.993354496827291,0.9694547386679061,0.0,0.0,0.0,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,outgoing_equivalence_minus,outgoing_equivalence_minus,376.730313668,1.0,fixed_eta0,,False,"J=-E_t/eta_eff, eta_eff=376.73 ohm, M sign flipped",96,2664,37x72,0.00015527887453288116,0.05849825910878848,1.3044968553335545e-06,3.9429401543613114e-08,0.03090400990535555,0.0010937339184587675,0.001574885308523815,0.9954744609301044,168.833333,15.196228510763882,0.75,1678,1629,0.9556475458308693,0.9694547386679061,0.9933546298064817,0.9694547386679061,0.0,8.537736462515939e-07,8.537736462515939e-07,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,eh_love_equivalence_plus,eh_love_equivalence_plus,376.730313668,1.0,real_eh_surface_currents,1.0,True,"J=1*(n_cross_H_t) from real CST H-field, M=-n_cross_E_t from real CST E-field",96,2664,37x72,0.00015818306013734828,0.05849825910878848,1.305056296156096e-06,3.9429401543613114e-08,0.030905080164505994,0.0010966031208011603,0.0015978257960777356,0.9954625702803587,166.44444400000003,15.198090607849469,0.75,1678,1628,0.9550561797752809,0.9689505637568215,0.993351123306589,0.9689505637568215,0.0,0.0,0.0,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,eh_love_equivalence_minus_j96,eh_love_equivalence_minus,376.730313668,1.0,real_eh_j_scale_scan,96.0,True,"J=96*(n_cross_H_t) from real CST H-field, M contribution sign flipped for convention check",96,2664,37x72,0.015185573773185435,0.05849825910878848,1.4046355059100005e-06,3.9429401543613114e-08,0.030248705298961287,0.00124894342104578,0.006425923036468082,0.99483141699299,176.00000000000006,15.517434567353412,0.75,1678,1519,0.9052443384982122,0.9200933415805118,1.0,0.9200933415805118,0.0,0.0,0.0,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,eh_love_equivalence_plus_j96,eh_love_equivalence_plus,376.730313668,1.0,real_eh_j_scale_scan,96.0,True,"J=96*(n_cross_H_t) from real CST H-field, M=-n_cross_E_t from real CST E-field",96,2664,37x72,0.015185573773185435,0.05849825910878848,1.4144005380780827e-06,3.9429401543613114e-08,0.03033115909150169,0.00184095051678814,0.008375079250359038,0.9923908408373082,161.66666699999996,15.547522274515565,0.75,1678,1458,0.8688915375446961,0.8876154399655557,1.0,0.8876154399655557,0.0,8.537736462515939e-07,8.537736462515939e-07,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,electric_only_outgoing,electric_only_outgoing,376.730313668,1.0,fixed_eta0,,False,"J=-E_t/eta_eff, eta_eff=376.73 ohm, M=0",96,2664,37x72,0.00015527887453288116,0.0,3.005661719604382e-12,3.9429401543613114e-08,14750.350585743023,0.0042565398382715365,0.01644557660165099,0.9822709270710576,157.06202099623476,-41.1788008529105,0.75,1678,1395,0.8215767634854771,0.846589165631361,0.994034621321501,0.846589165631361,0.0,1.2074182697257333e-06,1.2074182697257333e-06,region_shape_pass
L1_short_dipole_x_1p2G,1200000000.0,hfield_electric_only,hfield_electric_only,376.730313668,1.0,real_hfield_only,1.0,True,"J=n_cross_H_t from real CST H-field, M=0",96,2664,37x72,0.00015818306013734828,0.0,3.3194518096667887e-12,3.9429401543613114e-08,14268.966603330004,0.007268502242056047,0.03513545504412744,0.9697005578739436,31.407778371676773,-40.747538173019116,0.75,1678,1132,0.6696375519904931,0.6965603678042663,0.9957020775945185,0.6965603678042663,0.0,0.0,0.0,shape_pass_lobe_ambiguous
