sample_id,frequency_hz,theta_deg,phi_deg,reference_power,predicted_power,reference_power_norm,predicted_power_norm,predicted_e_theta_real,predicted_e_theta_imag,predicted_e_phi_real,predicted_e_phi_imag
L1_short_dipole_x_1p2G,1200000000.0,2.0,0.0,3.936494803863294e-08,6.975030506855796e-12,0.9983653440717613,0.3116420357851012,5.011970567742911e-07,-2.493224873392378e-06,2.0009856447175882e-07,6.838291543437484e-07
L1_short_dipole_x_1p2G,1200000000.0,2.0,5.0,3.936526342162356e-08,6.999610656106931e-12,0.9983733427473249,0.31274026865232607,5.144580644992749e-07,-2.4271215941496684e-06,1.650878877391055e-07,9.037534578151295e-07
L1_short_dipole_x_1p2G,1200000000.0,2.0,10.0,3.9366298802067355e-08,7.0166478597546776e-12,0.9983996018434123,0.3135014852267411,5.269371048057647e-07,-2.340224638614064e-06,1.28313395265537e-07,1.1161852269012964e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,14.999999999999998,3.9368021523335014e-08,7.0264271134396036e-12,0.9984432931296153,0.3139384190184763,5.382856934950062e-07,-2.2335323017614462e-06,8.944760130550726e-08,1.319093707523128e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,20.0,3.937037802112699e-08,7.029354143324267e-12,0.9985030581196918,0.3140691977371018,5.480686606616676e-07,-2.1082517020934876e-06,4.823688800091231e-08,1.5106034720537e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,25.0,3.9373295460437915e-08,7.025932257475697e-12,0.9985770495879036,0.31391630901912065,5.557805119683129e-07,-1.965769626512479e-06,4.516940288147619e-09,1.689014402757821e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,29.999999999999996,3.937668395803161e-08,7.016737711058446e-12,0.9986629879349502,0.31350549975301406,5.608637519999897e-07,-1.8076223561491467e-06,-4.177533655756443e-08,1.8528156415456588e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,35.0,3.938043932293928e-08,7.002394764288121e-12,0.9987582306918944,0.31286466167692706,5.62728415622671e-07,-1.635465792739912e-06,-9.059346587458626e-08,2.0006938694506366e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,40.0,3.938444623163857e-08,6.9835514943204775e-12,0.9988598530483701,0.312022750661944,5.607721454091827e-07,-1.4510469958007816e-06,-1.4177651015417438e-07,2.1315365660479977e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,45.0,3.9388581741194505e-08,6.960857257939678e-12,0.9989647369521077,0.31100877975251945,5.544002740740357e-07,-1.2561779720735225e-06,-1.9504743364678525e-07,2.2444311072410685e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,50.0,3.939271903387892e-08,6.934942510400947e-12,0.9990696660791665,0.3098509174791016,5.430455007591924e-07,-1.0527122566836391e-06,-2.5001445598281224e-07,2.33866067887879e-06
L1_short_dipole_x_1p2G,1200000000.0,2.0,55.0,3.939673127928828e-08,6.906401485398041e-12,0.9991714237841348,0.3085757140048578,5.261868697011104e-07,-8.425245173649171e-07,-3.0617513387866733e-07,2.4136980110580492e-06
