candidate,method,sensor_count,measurement_channels,dictionary_unknowns,channel_unknown_ratio,effective_rank,rank_ratio,stable_condition,mutual_coherence,min_angular_sep_deg,median_nn_angular_sep_deg,mean_theta_deg,theta_span_deg,nmse,correlation,main_lobe_error_deg,peak_error_db,classification_accuracy,frequency_hz,note
full_grid_162,full_grid,162,324,180,1.8,180,1.0,9.961345593300058,0.31744796879661336,2.080085919006687,9.999999999999975,46.0,80.0,0.0003653828734139965,0.9992479524524791,0.0,-0.021968334219047283,1.0,1200000000.0,Reference 9 x 18 upper-hemisphere grid.
geometric_farthest_120,geometric_farthest,120,240,180,1.3333333333333333,180,1.0,14.364157882909279,0.3739694300408656,9.999999999999902,9.999999999999975,55.0,80.0,0.0009294768057293288,0.9983593255774728,0.0,0.055348681468468525,1.0,1200000000.0,Greedy farthest-point coverage on the 2pi hemisphere.
fibonacci_snap_120,fibonacci_snap,120,240,180,1.3333333333333333,180,1.0,14.998488459500857,0.3454896385849442,8.731425276161561,9.999999999999975,56.083333333333336,80.0,0.0009320241029299565,0.9978511245334709,0.0,0.0010808712659883429,1.0,1200000000.0,Low-discrepancy Fibonacci directions snapped to the CST grid.
dictionary_weighted_120,dictionary_weighted,120,240,180,1.3333333333333333,180,1.0,14.44394193825887,0.3859866076591623,8.731425276161518,9.999999999999975,48.5,80.0,0.0011434976178850897,0.9977765836824484,0.0,0.0390580062208334,1.0,1200000000.0,Coverage weighted by equivalent-source dictionary row energy.
task_driven_120,task_driven,120,240,180,1.3333333333333333,180,1.0,15.296043417181792,0.3309724571700349,9.999999999999902,9.999999999999975,55.916666666666664,80.0,0.0041175900366136105,0.9972175823425162,0.0,0.2690267092561554,1.0,1200000000.0,Coverage weighted by class-template feature separation.
geometric_farthest_81,geometric_farthest,81,162,180,0.9,162,0.9,35.99282882568853,0.3906269727397504,9.999999999999975,10.00000000000005,52.04938271604938,80.0,0.10155054438861079,0.8519902806728159,0.0,0.6665357102762649,1.0,1200000000.0,Greedy farthest-point coverage on the 2pi hemisphere.
fibonacci_snap_81,fibonacci_snap,81,162,180,0.9,162,0.9,38.74660343927396,0.437182038011732,8.731425276161518,9.999999999999975,55.50617283950617,80.0,0.10029172528229151,0.8362882474745722,14.306462096057336,0.7005696037737007,1.0,1200000000.0,Low-discrepancy Fibonacci directions snapped to the CST grid.
dictionary_weighted_81,dictionary_weighted,81,162,180,0.9,162,0.9,32.91405158887996,0.36968287933441046,9.999999999999902,10.000000000000012,48.098765432098766,80.0,0.0712954492763992,0.9149725111635356,0.0,0.7270075645467117,1.0,1200000000.0,Coverage weighted by equivalent-source dictionary row energy.
task_driven_81,task_driven,81,162,180,0.9,162,0.9,35.568372417322784,0.3716263804510998,9.99999999999994,10.00000000000005,53.160493827160494,80.0,0.11094411883811213,0.8510826840669827,0.0,0.8252327463066294,1.0,1200000000.0,Coverage weighted by class-template feature separation.
geometric_farthest_48,geometric_farthest,48,96,180,0.5333333333333333,96,0.5333333333333333,7.712465727645162,0.5659350029737696,16.554219485529615,19.950782076051784,60.583333333333336,80.0,0.43900438927149554,0.33688618371640805,27.169796054966334,0.08308581613196694,1.0,1200000000.0,Greedy farthest-point coverage on the 2pi hemisphere.
fibonacci_snap_48,fibonacci_snap,48,96,180,0.5333333333333333,96,0.5333333333333333,6.980390921586099,0.45430222805158144,9.999999999999902,16.677591006669225,54.958333333333336,80.0,0.43242679987946303,0.37320579723562297,14.306462096057336,0.5623287373437539,1.0,1200000000.0,Low-discrepancy Fibonacci directions snapped to the CST grid.
dictionary_weighted_48,dictionary_weighted,48,96,180,0.5333333333333333,96,0.5333333333333333,6.6948956597673375,0.4530450959341408,14.241255714996214,18.40601644704758,58.083333333333336,80.0,0.33231105267049943,0.42610831102067276,70.52564604765547,-0.2334854896107116,1.0,1200000000.0,Coverage weighted by equivalent-source dictionary row energy.
task_driven_48,task_driven,48,96,180,0.5333333333333333,96,0.5333333333333333,7.345207005688335,0.5151118639997289,14.351353094931083,19.675432023277217,58.5,80.0,0.34448346302239363,0.3940340105551928,51.15907380795918,-0.7334241824244546,1.0,1200000000.0,Coverage weighted by class-template feature separation.
geometric_farthest_32,geometric_farthest,32,64,180,0.35555555555555557,64,0.35555555555555557,4.327154793065294,0.6416758605889809,20.00000000000001,22.114360950064235,60.0625,80.0,0.5515603974797657,0.22469039529219376,41.270497729553114,-0.08407961062057921,1.0,1200000000.0,Greedy farthest-point coverage on the 2pi hemisphere.
fibonacci_snap_32,fibonacci_snap,32,64,180,0.35555555555555557,64,0.35555555555555557,4.5176264960863035,0.5803716743091166,16.401060553418755,20.00000000000001,55.375,70.0,0.42572779047476705,0.28140936213143863,18.288511693488605,-1.5250915586129279,1.0,1200000000.0,Low-discrepancy Fibonacci directions snapped to the CST grid.
dictionary_weighted_32,dictionary_weighted,32,64,180,0.35555555555555557,64,0.35555555555555557,4.042534688113946,0.5362107985899034,17.245944230409812,21.734001376798854,57.25,80.0,0.40847763063323494,0.3537836935611569,24.74981009338382,-1.5928287882665857,1.0,1200000000.0,Coverage weighted by equivalent-source dictionary row energy.
task_driven_32,task_driven,32,64,180,0.35555555555555557,64,0.35555555555555557,4.776254589592966,0.6806811001912384,19.40008197050269,21.923528127326797,60.375,80.0,0.45492041483341494,0.31108731531333444,22.32099732432604,-1.5026028535033153,1.0,1200000000.0,Coverage weighted by class-template feature separation.
