lmax,lambda_reg,include_l0,mode_count,sample_count,mean_correlation,min_correlation,mean_nmse,max_nmse,mean_main_lobe_error_deg,max_main_lobe_error_deg,mean_nearfield_fit_relative_error,max_nearfield_fit_relative_error,min_farfield_total_complex_correlation_abs,max_farfield_total_complex_relative_l2_error,min_theta_farfield_complex_correlation_abs,min_phi_farfield_complex_correlation_abs,max_theta_farfield_error_to_total_norm,max_phi_farfield_error_to_total_norm,max_basis_condition,status
4,0.0,False,24,2,0.9993355598910076,0.9990092548096616,0.0006135967165932045,0.0009260393811542808,0.0,0.0,0.022424747662373585,0.02576559279771885,0.9995007505023927,0.03159596928494739,0.9995007505023924,0.8226616814597081,0.031595969284939546,1.0623222472480579e-07,105.11189274628238,strict_pass
4,1e-10,False,24,2,0.9993355598982954,0.9990092548189734,0.0006135966991610332,0.000926039356733741,0.0,0.0,0.022424747662373595,0.025765592797718874,0.9995007505020671,0.031595969295442276,0.9995007505020667,0.8226616814597909,0.03159596929543444,1.0623222472493635e-07,105.11189274628238,strict_pass
4,1e-08,False,24,2,0.9993355606197898,0.9990092557408439,0.0006135949733813726,0.0009260369391024797,0.0,0.0,0.02242474766237868,0.02576559279772329,0.9995007504698731,0.031595970334452675,0.9995007504698727,0.82266168146799,0.03159597033444484,1.0623222473786395e-07,105.11189274628238,strict_pass
4,1e-06,False,24,2,0.9993356327583791,0.9990093479157296,0.0006134224323409114,0.000925795215451634,0.0,0.0,0.022424747713186914,0.025765592841902198,0.999500747249538,0.03159607426664574,0.9995007472495376,0.8226616822872466,0.03159607426663791,1.0623222603076956e-07,105.11189274628238,strict_pass
6,0.0,False,48,2,0.9996453746925229,0.9995157547588805,0.0010573065515974186,0.001378955148812994,0.0,0.0,0.010508419607526201,0.01179086279814796,0.99982431270218,0.018744322339309078,0.9998243127021796,0.9852851545798931,0.0187443223392998,1.867397588288199e-08,4531.203507096949,strict_pass
6,1e-10,False,48,2,0.9996453753866419,0.9995157556401496,0.0010573036797393318,0.0013789515986951109,0.0,0.0,0.01050841960752947,0.01179086279815142,0.9998243127199127,0.018744321392319328,0.9998243127199127,0.9852853000830615,0.018744321392310057,1.8673882364358503e-08,4531.203507096949,strict_pass
6,1e-08,False,48,2,0.9996454440950022,0.9995158428741285,0.001057019400103856,0.0013786001780704297,0.0,0.0,0.01050841964022316,0.011790862831487179,0.9998243144747748,0.018744227676507835,0.9998243144747747,0.9852996382522898,0.018744227676498564,1.8664664932499307e-08,4531.203507096949,strict_pass
6,1e-06,False,48,2,0.9996522216469557,0.9995244503882739,0.0010289313275170316,0.001343863975926537,0.0,0.0,0.010508743491483345,0.011791193043929305,0.9998244831983791,0.0187352148288127,0.9998244831983792,0.9862406395813312,0.018735214828804053,1.8051125257206525e-08,4531.203507096949,strict_pass
10,1e-06,False,120,2,0.9999556074935027,0.9999357454605471,0.000107580581493221,0.0001608806531758968,0.0,0.0,0.0024599633207418384,0.0027558639542307624,0.9999459514866096,0.010397434478206583,0.9999459514866096,0.968083984314905,0.010397434478168988,2.796282400256117e-08,1.1688896130392148e+16,strict_pass
5,1e-10,False,35,2,0.9992681388144778,0.9990127599523884,0.0005452312286090295,0.0006707073055573109,4.777777999999965,4.777777999999965,0.017435456978985006,0.01952631060530009,0.9996668075559147,0.02582082023457361,0.9996668075559146,0.9834891172912236,0.025820820234566125,1.975598959857815e-08,634.5728907361449,strict_pass
5,0.0,False,35,2,0.9992681388405376,0.9990127599805636,0.0005452312099702239,0.0006707072866304318,4.777777999999965,4.777777999999965,0.017435456978985027,0.019526310605300135,0.9996668075558262,0.025820820238010894,0.9996668075558262,0.9834891163016493,0.02582082023800341,1.9755990194037165e-08,634.5728907361449,strict_pass
5,1e-08,False,35,2,0.9992681362345681,0.9990127571630643,0.0005452330738485679,0.0006707091793133487,4.777777999999965,4.777777999999965,0.017435456979026293,0.019526310605328744,0.9996668075647337,0.02582081989433052,0.9996668075647337,0.9834892152421646,0.025820819894323038,1.9755930658205063e-08,634.5728907361449,strict_pass
5,1e-06,False,35,2,0.9992678782118408,0.9990124782101717,0.0005454176221690624,0.0006708965673262545,4.777777999999965,4.777777999999965,0.017435457391575468,0.019526310891390897,0.9996668084406388,0.0258207861015565,0.9996668084406387,0.9834988431180945,0.025820786101549024,1.9750136405469112e-08,634.5728907361449,strict_pass
8,1e-06,False,80,2,0.9998071062939408,0.9997484510025239,0.0001532250112752108,0.00017653021974183464,2.3888889999999825,4.777777999999965,0.005663163480743038,0.006319819987748214,0.9999044407131489,0.01382664662625216,0.9999044407131485,0.9854920433045948,0.01382664662623971,1.8572657724584693e-08,520842.3818404845,strict_pass
8,0.0,False,80,2,0.9966910571091548,0.9956986633952895,0.018290416188004296,0.023021949641182017,0.0,0.0,0.003309632854797664,0.003696780070988354,0.9996866484363146,0.025055620869829223,0.9996866484363189,0.7231741294658678,0.02505562086962015,1.0237472460628325e-07,520842.3818404845,sanity_pass
8,1e-10,False,80,2,0.9967061049445153,0.9957181841705052,0.01821812693353704,0.022932247515844113,0.0,0.0,0.003309644045177509,0.0036967925355805135,0.9996877675016843,0.025010802829790728,0.9996877675016872,0.7985717543241039,0.025010802829660166,8.082817649925663e-08,520842.3818404845,sanity_pass
8,1e-08,False,80,2,0.9978451179363831,0.9971958836767053,0.012550803760661304,0.01587854301974227,0.0,0.0,0.0033896457289690858,0.003785906692790013,0.9997723174302519,0.021355077110267795,0.9997723174302519,0.9878864482118929,0.021355077110261085,1.695848265682342e-08,520842.3818404845,sanity_pass
10,1e-08,False,120,2,0.9919291890067206,0.9897199404142105,0.011577615868284223,0.01491903730317671,4.777777999999965,4.777777999999965,0.0004475842526688444,0.0005014252525131273,0.9992534878613119,0.038635097272985336,0.9992534878613119,0.9837431857605216,0.038635097272980444,1.9751417157733665e-08,1.1688896130392148e+16,sanity_pass
2,0.0,False,8,2,0.9352698889972528,0.9292148311824368,0.05422816955605847,0.06740768995844344,21.891386464177412,24.06020540178353,0.11920247918269443,0.1276472048905886,0.992675397042046,0.1211321435719755,0.9926753970420609,0.03640686099502997,0.12113214357183275,1.8600556926972086e-07,4.562804517444079,diagnostic_only
2,1e-10,False,8,2,0.9352698889960409,0.929214831181251,0.05422816955693596,0.06740768995955412,21.891386464177412,24.06020540178353,0.11920247918269444,0.1276472048905886,0.9926753970420652,0.12113214357041795,0.9926753970420802,0.03640686099502159,0.12113214357027519,1.8600556926972086e-07,4.562804517444079,diagnostic_only
2,1e-08,False,8,2,0.9352698888760933,0.9292148310638929,0.05422816964381533,0.06740769006955136,21.891386464177412,24.06020540178353,0.11920247918269444,0.1276472048905886,0.9926753970439555,0.12113214341622677,0.9926753970439705,0.036406860994194046,0.12113214341608401,1.8600556926972505e-07,4.562804517444079,diagnostic_only
2,1e-06,False,8,2,0.9352698768813275,0.9292148193281072,0.054228178331754466,0.06740770106924959,21.891386464177412,24.06020540178353,0.11920247918285473,0.12764720489073977,0.9926753972329622,0.1211321279972767,0.9926753972329772,0.03640686091143691,0.12113212799713395,1.860055692701454e-07,4.562804517444079,diagnostic_only
3,1e-10,False,15,2,0.9857707500009149,0.9816991136787002,0.011866306506050757,0.013303091767185336,17.558564458590155,24.35141386884869,0.0710728989214951,0.07913624892266567,0.9965802871962145,0.0827418585594432,0.996580287196214,0.03819711449886485,0.0827418585594392,1.859931273801085e-07,20.146665301904548,diagnostic_only
3,0.0,False,15,2,0.9857707500066464,0.9816991136848852,0.011866306501030675,0.013303091763567872,17.558564458590155,24.35141386884869,0.07107289892149515,0.07913624892266571,0.9965802871960179,0.08274185856291315,0.9965802871960173,0.03819711449889284,0.08274185856290912,1.8599312738010837e-07,20.146665301904548,diagnostic_only
3,1e-08,False,15,2,0.9857707494334883,0.981699113066404,0.011866307003062475,0.013303092125318286,17.558564458590155,24.35141386884869,0.07107289892149525,0.07913624892266581,0.9965802872156897,0.08274185821591645,0.996580287215689,0.03819711449609261,0.08274185821591243,1.8599312738012666e-07,20.146665301904548,diagnostic_only
3,1e-06,False,15,2,0.9857706926906166,0.9816990518365726,0.011866356704475934,0.013303127938809646,17.558564458590155,24.35141386884869,0.07107289892240706,0.07913624892340357,0.9965802891631629,0.08274182386390297,0.9965802891631623,0.0381971142188308,0.08274182386389894,1.8599312738194846e-07,20.146665301904548,diagnostic_only
10,0.0,False,120,2,0.9880327519877021,0.9847871723064398,0.017449941744867015,0.02222283616779275,170.5624272182638,171.222222,3.896454611067229e-10,7.607742309188192e-10,0.998885236453336,0.04721541527556466,0.9988852364535417,0.17271543350969637,0.047215415271177626,6.436451031084706e-07,1.1688896130392148e+16,diagnostic_only
10,1e-10,False,120,2,0.9880835932262407,0.9848513652295984,0.017373672577024695,0.022128457070675896,170.5624272182638,171.222222,5.405307694286767e-06,6.055525729214324e-06,0.9988901475977238,0.0471112386615199,0.9988901475978159,0.24895214582446332,0.04711123865953021,4.3299262474813476e-07,1.1688896130392148e+16,diagnostic_only
