candidate,candidate_method,requested_sensor_count,sensor_count,missing_sensor_count,lmax,lambda_reg,include_l0,mode_count,case_count,sample_count,mean_correlation,min_correlation,mean_nmse,max_nmse,mean_main_lobe_error_deg,max_main_lobe_error_deg,mean_nearfield_fit_relative_error,max_nearfield_fit_relative_error,min_farfield_total_complex_correlation_abs,max_farfield_total_complex_relative_l2_error,min_theta_farfield_complex_correlation_abs,min_phi_farfield_complex_correlation_abs,max_theta_farfield_error_to_total_norm,max_phi_farfield_error_to_total_norm,max_basis_condition,max_mode_sensor_ratio,any_component_underdetermined,status,status_rank
geometric_farthest_32,geometric_farthest,32,32,0,4,1e-10,False,24,2,2,0.9993984349846613,0.9991228831465736,0.0006744909982195312,0.0009766965566670605,0.0,0.0,0.012622278264733357,0.014910566881503926,0.9993991162604503,0.03467728043945683,0.9993991162604504,0.7595337183751665,0.03467728043944669,1.2155653085250785e-07,73.97694258940265,0.75,False,strict_pass,0
dictionary_weighted_32,dictionary_weighted,32,32,0,4,1e-10,False,24,2,2,0.9994475868304407,0.9991899350614005,0.0007223446886630994,0.0010891399187577975,0.0,0.0,0.012892681672240155,0.015122101633788432,0.9993823475815498,0.03515335458047153,0.9993823475815498,0.7496970113952401,0.03515335458046082,1.2776636255455027e-07,78.4320125984018,0.75,False,strict_pass,0
dictionary_weighted_48,dictionary_weighted,48,48,0,4,1e-10,False,24,2,2,0.9996071217898191,0.9994219220746112,0.0006059308038794607,0.0009196012080022788,0.0,0.0,0.011294733795188194,0.013169611769453277,0.9992960645295766,0.03752945249651092,0.9992960645295764,0.742483188251517,0.03752945249650309,1.2893790955964137e-07,74.50915585792866,0.5,False,strict_pass,0
geometric_farthest_48,geometric_farthest,48,48,0,4,1e-10,False,24,2,2,0.9995979186308389,0.9994133429541857,0.0004134453801172227,0.0006101010022614794,0.0,0.0,0.011369885483813185,0.013413487468013914,0.9993617992604114,0.03572871212115591,0.9993617992604116,0.8090224533116165,0.03572871212114618,1.0942461957048442e-07,76.88762953508396,0.5,False,strict_pass,0
fibonacci_snap_81,fibonacci_snap,81,81,0,4,0.0,False,24,2,2,0.9997369550824504,0.9996073894440555,0.00020495187969207546,0.0002925570961847413,0.0,0.0,0.010403275858490532,0.012049039689438781,0.9991669737916306,0.0408716978424664,0.9991669737916304,0.7940325759650001,0.040871697842459656,1.1380071023770656e-07,73.96563309304257,0.2962962962962963,False,strict_pass,0
task_driven_81,task_driven,81,81,0,4,0.0,False,24,2,2,0.9996884088666869,0.9995342372049776,0.00026598893350455294,0.0004085754421962427,0.0,0.0,0.01339940178829088,0.01548108464924855,0.9993040022506204,0.03730938707430847,0.9993040022506203,0.8096230780317618,0.0373093870743012,1.1021285633120198e-07,77.85386262311279,0.2962962962962963,False,strict_pass,0
geometric_farthest_81,geometric_farthest,81,81,0,4,1e-10,False,24,2,2,0.9996625258297731,0.9994916560436845,0.000283261367512802,0.00043342024774114786,0.0,0.0,0.013559808792845051,0.01567572578517876,0.9993063140130812,0.03726006025888011,0.9993063140130812,0.8197082012046644,0.03726006025887307,1.06633105850216e-07,84.22603081942589,0.2962962962962963,False,strict_pass,0
dictionary_weighted_81,dictionary_weighted,81,81,0,4,1e-10,False,24,2,2,0.9996176492129394,0.9994345246972818,0.0006217709663965352,0.0009764534326545554,0.0,0.0,0.014540394806044125,0.016669899517296947,0.9992792299970553,0.03796236627163772,0.9992792299970555,0.7569888455302795,0.03796236627163077,1.275735143492871e-07,92.23434391147356,0.2962962962962963,False,strict_pass,0
fibonacci_snap_120,fibonacci_snap,120,120,0,4,0.0,False,24,2,2,0.9997335721604657,0.999601531448812,0.00019581042743949025,0.00027066649071656805,0.0,0.0,0.011491654735908876,0.013327268467386494,0.999238555392293,0.03904093104805826,0.9992385553922928,0.8219259161590087,0.0390409310480515,1.0647996245571486e-07,67.44907373930863,0.2,False,strict_pass,0
task_driven_120,task_driven,120,120,0,4,0.0,False,24,2,2,0.999722319060856,0.999583598397531,0.00020096439484395138,0.00028082208532917983,0.0,0.0,0.011042732880726647,0.012793275703603425,0.9992698376868416,0.038215026583419784,0.9992698376868417,0.8216690287121535,0.03821502658341249,1.065870181875592e-07,69.15547852581152,0.2,False,strict_pass,0
geometric_farthest_120,geometric_farthest,120,120,0,4,1e-10,False,24,2,2,0.9997283415156142,0.9995935968792343,0.00019931359313247318,0.0002821938071560202,0.0,0.0,0.011410749840035359,0.013211004964641178,0.9992484555304029,0.03877111742782793,0.9992484555304029,0.8198742126139688,0.03877111742782099,1.0768150414006071e-07,69.81265984863214,0.2,False,strict_pass,0
dictionary_weighted_120,dictionary_weighted,120,120,0,4,1e-10,False,24,2,2,0.9996712893321067,0.9995025144224762,0.00036424033065470945,0.0005977276277294137,0.0,0.0,0.015277449619408709,0.017524295807039552,0.99927680269317,0.038085779827272744,0.99927680269317,0.768592109426277,0.03808577982726574,1.372464848738486e-07,91.57008364673112,0.2,False,strict_pass,0
