sample_id,class_label,source_config,carrier_model,working_state,frequencies_hz
L2_comm_pair_000,comm_pair,comm_pair,level2_multisource_no_airframe,comm_pair_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_comm_pair_001,comm_pair,comm_pair,level2_multisource_no_airframe,comm_pair_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_comm_pair_002,comm_pair,comm_pair,level2_multisource_no_airframe,comm_pair_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_comm_pair_003,comm_pair,comm_pair,level2_multisource_no_airframe,comm_pair_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_comm_pair_004,comm_pair,comm_pair,level2_multisource_no_airframe,comm_pair_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_comm_pair_005,comm_pair,comm_pair,level2_multisource_no_airframe,comm_pair_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_comm_pair_006,comm_pair,comm_pair,level2_multisource_no_airframe,comm_pair_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_comm_pair_007,comm_pair,comm_pair,level2_multisource_no_airframe,comm_pair_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_comm_pair_008,comm_pair,comm_pair,level2_multisource_no_airframe,comm_pair_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_comm_pair_009,comm_pair,comm_pair,level2_multisource_no_airframe,comm_pair_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_comm_pair_010,comm_pair,comm_pair,level2_multisource_no_airframe,comm_pair_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_comm_pair_011,comm_pair,comm_pair,level2_multisource_no_airframe,comm_pair_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_radar_top_000,radar_top,radar_top,level2_multisource_no_airframe,radar_top_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_radar_top_001,radar_top,radar_top,level2_multisource_no_airframe,radar_top_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_radar_top_002,radar_top,radar_top,level2_multisource_no_airframe,radar_top_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_radar_top_003,radar_top,radar_top,level2_multisource_no_airframe,radar_top_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_radar_top_004,radar_top,radar_top,level2_multisource_no_airframe,radar_top_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_radar_top_005,radar_top,radar_top,level2_multisource_no_airframe,radar_top_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_radar_top_006,radar_top,radar_top,level2_multisource_no_airframe,radar_top_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_radar_top_007,radar_top,radar_top,level2_multisource_no_airframe,radar_top_state,900000000;1050000000;1200000000;1350000000;1500000000
