sample_id,class_label,check_item,expected,owner,status
L2_comm_pair_000,comm_pair,CST project saved,CST_L2_comm_pair_000.cst,B_CST,todo
L2_comm_pair_000,comm_pair,All source excitations set,source positions/orientations/amplitudes/phases match source manifest,B_CST,todo
L2_comm_pair_000,comm_pair,Hemisphere near-field monitors exported,data/cst_exports/level2/L2_comm_pair_000_nearfield.csv,B_CST,todo
L2_comm_pair_000,comm_pair,Far-field monitors exported,data/cst_exports/level2/L2_comm_pair_000_farfield.csv,B_CST,todo
L2_comm_pair_000,comm_pair,Merge audit sample_complete,merge_cst_level2_exports.py reports sample_complete=True,A_algorithm,todo
L2_comm_pair_000,comm_pair,Screenshots archived,submission/05_cst/screenshots/level2/L2_comm_pair_000_*.png,C_docs,todo
L2_comm_pair_001,comm_pair,CST project saved,CST_L2_comm_pair_001.cst,B_CST,todo
L2_comm_pair_001,comm_pair,All source excitations set,source positions/orientations/amplitudes/phases match source manifest,B_CST,todo
L2_comm_pair_001,comm_pair,Hemisphere near-field monitors exported,data/cst_exports/level2/L2_comm_pair_001_nearfield.csv,B_CST,todo
L2_comm_pair_001,comm_pair,Far-field monitors exported,data/cst_exports/level2/L2_comm_pair_001_farfield.csv,B_CST,todo
L2_comm_pair_001,comm_pair,Merge audit sample_complete,merge_cst_level2_exports.py reports sample_complete=True,A_algorithm,todo
L2_comm_pair_001,comm_pair,Screenshots archived,submission/05_cst/screenshots/level2/L2_comm_pair_001_*.png,C_docs,todo
L2_comm_pair_002,comm_pair,CST project saved,CST_L2_comm_pair_002.cst,B_CST,todo
L2_comm_pair_002,comm_pair,All source excitations set,source positions/orientations/amplitudes/phases match source manifest,B_CST,todo
L2_comm_pair_002,comm_pair,Hemisphere near-field monitors exported,data/cst_exports/level2/L2_comm_pair_002_nearfield.csv,B_CST,todo
L2_comm_pair_002,comm_pair,Far-field monitors exported,data/cst_exports/level2/L2_comm_pair_002_farfield.csv,B_CST,todo
L2_comm_pair_002,comm_pair,Merge audit sample_complete,merge_cst_level2_exports.py reports sample_complete=True,A_algorithm,todo
