sensor_id,node_id,component,probe_x_m,probe_y_m,probe_z_m,cst_probe_item,item_x_m,item_y_m,item_z_m,distance_m,status,result_ids,result_id,frequency_index,n_points,target_frequency_ghz,selected_frequency_ghz,frequency_error_ghz,e_real,e_imag,error
0,0,Ex,0.050386419129,0,4.34635416667,1D Results\Probes\E-Field\E-Field (0.0503864 0 4.34635)(X) [1],0.0503864,0.0,4.34635,4.166713910109e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,6.453757546652e-03,3.570417185833e-03,
0,0,Ey,0.050386419129,0,4.34635416667,1D Results\Probes\E-Field\E-Field (0.0503864 0 4.34635)(Y) [1],0.0503864,0.0,4.34635,4.166713910109e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,8.248139148536e-06,1.194698038857e-07,
0,0,Ez,0.050386419129,0,4.34635416667,1D Results\Probes\E-Field\E-Field (0.0503864 0 4.34635)(Z) [1],0.0503864,0.0,4.34635,4.166713910109e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-9.415314618472e-04,-3.940498944160e-04,
1,1,Ex,-0.0640137315534,0.0586418218199,4.3390625,1D Results\Probes\E-Field\E-Field (-0.0640137 0.0586418 4.33906)(X) [1],-0.0640137,0.0586418,4.33906,2.500294327597e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,6.312008187128e-03,3.462565619219e-03,
1,1,Ey,-0.0640137315534,0.0586418218199,4.3390625,1D Results\Probes\E-Field\E-Field (-0.0640137 0.0586418 4.33906)(Y) [1],-0.0640137,0.0586418,4.33906,2.500294327597e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,2.311203698978e-04,6.455955259118e-05,
1,1,Ez,-0.0640137315534,0.0586418218199,4.3390625,1D Results\Probes\E-Field\E-Field (-0.0640137 0.0586418 4.33906)(Z) [1],-0.0640137,0.0586418,4.33906,2.500294327597e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.192552011044e-03,3.719102110687e-04,
2,2,Ex,0.00974634673724,-0.111054594117,4.33177083333,1D Results\Probes\E-Field\E-Field (0.00974635 -0.111055 4.33177)(X) [1],0.00974635,-0.111055,4.33177,9.269253179878e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,6.504932767822e-03,3.194404128063e-03,
2,2,Ey,0.00974634673724,-0.111054594117,4.33177083333,1D Results\Probes\E-Field\E-Field (0.00974635 -0.111055 4.33177)(Y) [1],0.00974635,-0.111055,4.33177,9.269253179878e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,6.122208925766e-05,2.210016698863e-05,
2,2,Ez,0.00974634673724,-0.111054594117,4.33177083333,1D Results\Probes\E-Field\E-Field (0.00974635 -0.111055 4.33177)(Z) [1],0.00974635,-0.111055,4.33177,9.269253179878e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-1.707039106995e-04,-5.572344999681e-05,
3,3,Ex,0.0798267852986,0.104119905629,4.32447916667,1D Results\Probes\E-Field\E-Field (0.0798268 0.10412 4.32448)(X) [1],0.0798268,0.10412,4.32448,8.387853757887e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,6.063491530063e-03,3.256255941894e-03,
3,3,Ey,0.0798267852986,0.104119905629,4.32447916667,1D Results\Probes\E-Field\E-Field (0.0798268 0.10412 4.32448)(Y) [1],0.0798268,0.10412,4.32448,8.387853757887e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-5.010856798619e-04,-1.423851816201e-04,
3,3,Ez,0.0798267852986,0.104119905629,4.32447916667,1D Results\Probes\E-Field\E-Field (0.0798268 0.10412 4.32448)(Z) [1],0.0798268,0.10412,4.32448,8.387853757887e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-1.455252919972e-03,-4.309117310244e-04,
4,4,Ex,-0.145697968509,-0.0257719191415,4.3171875,1D Results\Probes\E-Field\E-Field (-0.145698 -0.0257719 4.31719)(X) [1],-0.145698,-0.0257719,4.31719,2.500271601173e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,5.154270029852e-03,3.243549694614e-03,
4,4,Ey,-0.145697968509,-0.0257719191415,4.3171875,1D Results\Probes\E-Field\E-Field (-0.145698 -0.0257719 4.31719)(Y) [1],-0.145698,-0.0257719,4.31719,2.500271601173e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-2.534312091246e-04,-5.709690962816e-05,
4,4,Ez,-0.145697968509,-0.0257719191415,4.3171875,1D Results\Probes\E-Field\E-Field (-0.145698 -0.0257719 4.31719)(Z) [1],-0.145698,-0.0257719,4.31719,2.500271601173e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,2.731450174892e-03,7.962679023737e-04,
5,5,Ex,0.137261566981,-0.0873145733117,4.30989583333,1D Results\Probes\E-Field\E-Field (0.137262 -0.0873146 4.3099)(X) [1],0.137262,-0.0873146,4.3099,4.189195222207e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,5.196029831368e-03,3.062372578328e-03,
5,5,Ey,0.137261566981,-0.0873145733117,4.30989583333,1D Results\Probes\E-Field\E-Field (0.137262 -0.0873146 4.3099)(Y) [1],0.137262,-0.0873146,4.3099,4.189195222207e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,7.367683074289e-04,1.968838299741e-04,
5,5,Ez,0.137261566981,-0.0873145733117,4.30989583333,1D Results\Probes\E-Field\E-Field (0.137262 -0.0873146 4.3099)(Z) [1],0.137262,-0.0873146,4.3099,4.189195222207e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-2.529695334249e-03,-7.070143527288e-04,
6,6,Ex,-0.0456569496532,0.16984157696,4.30260416667,1D Results\Probes\E-Field\E-Field (-0.0456569 0.169842 4.3026)(X) [1],-0.0456569,0.169842,4.3026,4.188384792725e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,6.292683531177e-03,3.286794872407e-03,
6,6,Ey,-0.0456569496532,0.16984157696,4.30260416667,1D Results\Probes\E-Field\E-Field (-0.0456569 0.169842 4.3026)(Y) [1],-0.0456569,0.169842,4.3026,4.188384792725e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,4.249354823889e-04,1.373862929272e-04,
6,6,Ez,-0.0456569496532,0.16984157696,4.30260416667,1D Results\Probes\E-Field\E-Field (-0.0456569 0.169842 4.3026)(Z) [1],-0.0456569,0.169842,4.3026,4.188384792725e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,7.745221104964e-04,2.296545177566e-04,
7,7,Ex,-0.086584948168,-0.166714048882,4.2953125,1D Results\Probes\E-Field\E-Field (-0.0865849 -0.166714 4.29531)(X) [1],-0.0865849,-0.166714,4.29531,2.500941743759e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,5.945685422978e-03,3.344223623562e-03,
7,7,Ey,-0.086584948168,-0.166714048882,4.2953125,1D Results\Probes\E-Field\E-Field (-0.0865849 -0.166714 4.29531)(Y) [1],-0.0865849,-0.166714,4.29531,2.500941743759e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-7.915520385481e-04,-2.390622943271e-04,
7,7,Ez,-0.086584948168,-0.166714048882,4.2953125,1D Results\Probes\E-Field\E-Field (-0.0865849 -0.166714 4.29531)(Z) [1],-0.0865849,-0.166714,4.29531,2.500941743759e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.474383562470e-03,4.176928264408e-04,
8,8,Ex,0.186790362587,0.0682155408303,4.28802083333,1D Results\Probes\E-Field\E-Field (0.18679 0.0682155 4.28802)(X) [1],0.18679,0.0682155,4.28802,9.097116764703e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,4.240228341428e-03,3.048313097550e-03,
8,8,Ey,0.186790362587,0.0682155408303,4.28802083333,1D Results\Probes\E-Field\E-Field (0.18679 0.0682155 4.28802)(Y) [1],0.18679,0.0682155,4.28802,9.097116764703e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-7.900559356011e-04,-2.109361106698e-04,
8,8,Ez,0.186790362587,0.0682155408303,4.28802083333,1D Results\Probes\E-Field\E-Field (0.18679 0.0682155 4.28802)(Z) [1],0.18679,0.0682155,4.28802,9.097116764703e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-3.268096202976e-03,-9.471385953304e-04,
9,9,Ex,-0.193210631957,0.0797545401925,4.28072916667,1D Results\Probes\E-Field\E-Field (-0.193211 0.0797545 4.28073)(X) [1],-0.193211,0.0797545,4.28073,9.118716887444e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,4.079264605615e-03,2.989839661653e-03,
9,9,Ey,-0.193210631957,0.0797545401925,4.28072916667,1D Results\Probes\E-Field\E-Field (-0.193211 0.0797545 4.28073)(Y) [1],-0.193211,0.0797545,4.28073,9.118716887444e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,9.520432268468e-04,2.601487847264e-04,
9,9,Ez,-0.193210631957,0.0797545401925,4.28072916667,1D Results\Probes\E-Field\E-Field (-0.193211 0.0797545 4.28073)(Z) [1],-0.193211,0.0797545,4.28073,9.118716887444e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,3.294477181644e-03,9.409747872287e-04,
10,10,Ex,0.0926003435022,-0.197881555424,4.2734375,1D Results\Probes\E-Field\E-Field (0.0926003 -0.197882 4.27344)(X) [1],0.0926003,-0.197882,4.27344,2.539594507145e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,5.834847011107e-03,3.576896228621e-03,
10,10,Ey,0.0926003435022,-0.197881555424,4.2734375,1D Results\Probes\E-Field\E-Field (0.0926003 -0.197882 4.27344)(Y) [1],0.0926003,-0.197882,4.27344,2.539594507145e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.013181274102e-03,2.874214648780e-04,
10,10,Ez,0.0926003435022,-0.197881555424,4.2734375,1D Results\Probes\E-Field\E-Field (0.0926003 -0.197882 4.27344)(Z) [1],0.0926003,-0.197882,4.27344,2.539594507145e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-1.465393698258e-03,-4.045546052990e-04,
11,11,Ex,0.0680279501191,0.216883824666,4.26614583333,1D Results\Probes\E-Field\E-Field (0.068028 0.216884 4.26615)(X) [1],0.068028,0.216884,4.26615,4.170655703650e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,6.095418686382e-03,3.621784951003e-03,
11,11,Ey,0.0680279501191,0.216883824666,4.26614583333,1D Results\Probes\E-Field\E-Field (0.068028 0.216884 4.26615)(Y) [1],0.068028,0.216884,4.26615,4.170655703650e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-8.031255465262e-04,-2.415199078036e-04,
11,11,Ez,0.0680279501191,0.216883824666,4.26614583333,1D Results\Probes\E-Field\E-Field (0.068028 0.216884 4.26615)(Z) [1],0.068028,0.216884,4.26615,4.170655703650e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-1.022627686592e-03,-2.887504138932e-04,
12,12,Ex,-0.203820183749,-0.118117962629,4.25885416667,1D Results\Probes\E-Field\E-Field (-0.20382 -0.118118 4.25885)(X) [1],-0.20382,-0.118118,4.25885,4.170887097093e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,3.866526884819e-03,2.785994780841e-03,
