path,name,suffix,role,size_bytes,header_hex,header_ascii
C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96\Model\3D\anchorpoints.json,anchorpoints.json,.json,solver_metadata_json,472,7b 0d 0a 20 20 20 20 22 61 6e 63 68 6f 72 70 6f 69 6e 74 73 22 3a 20 5b 5d 2c 0d 0a 20 20 20 20,"{..    ""anchorpoints"": [],..    ""portpins"": [..        {..            ""name"": ""1"",..            "
C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96\Model\3D\ModelHistory.json,ModelHistory.json,.json,solver_metadata_json,56532,7b 0a 20 20 20 20 22 67 65 6e 65 72 61 6c 22 3a 20 7b 0a 20 20 20 20 20 20 20 20 22 76 65 72 73,"{.    ""general"": {.        ""version"": ""2025.2"",.        ""date"": ""2024-12-16"",.        ""acis"": ""3"
C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96\Model\DS\assemblyImport3DX.json,assemblyImport3DX.json,.json,solver_metadata_json,41,7b 0d 0a 20 20 20 20 22 62 6c 6f 63 6b 73 22 3a 20 5b 5d 2c 0d 0a 20 20 20 20 22 76 65 72 73 69,"{..    ""blocks"": [],..    ""version"": 1..}"
C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96\Model\Parameters.json,Parameters.json,.json,solver_metadata_json,47,7b 0d 0a 20 20 20 20 22 70 61 72 61 6d 65 74 65 72 73 22 3a 20 6e 75 6c 6c 2c 0d 0a 20 20 20 20,"{..    ""parameters"": null,..    ""version"": 1..}"
C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96\Model\PC_integration.json,PC_integration.json,.json,solver_metadata_json,165,7b 0d 0a 20 20 20 22 65 78 65 63 75 74 69 6f 6e 22 3a 20 7b 0d 0a 20 20 20 20 20 20 22 63 6c 61,"{..   ""execution"": {..      ""classname"": ""SMAPowerByEmagHPCFrame"",..      ""libname"": ""SMAPowerBy"
C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96\Result\farfield_1200MHz_1.ffm,farfield_1200MHz_1.ffm,.ffm,farfield_monitor_binary,23003,2a 2a 46 61 72 66 69 65 6c 64 4d 6f 6e 69 74 6f 72 2a 2a 01 00 00 00 09 00 00 00 10 00 00 00 66,**FarfieldMonitor**............farfield_1200MHz....................!.......!...!.......!........
C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96\Result\farfield_1200MHz_1.fme,farfield_1200MHz_1.fme,.fme,farfield_binary,57592,46 4d 45 43 54 4e 7a f0 33 01 00 00 00 00 e2 08 00 00 00 00 00 00 a5 64 64 61 74 61 98 18 a2 68,FMECTNz.3..............ddata...hdatatypejcomplex128dsize....hdatatypejcomplex128dsize....hdataty
C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96\Result\hexmeshengine.log,hexmeshengine.log,.log,solver_log_text,457,3e 32 30 32 36 2d 30 36 2d 30 35 20 30 31 3a 31 36 3a 31 38 2e 30 30 37 31 37 3c 20 3a 20 20 43,>2026-06-05 01:16:18.00717< :  Configuring HexMeshEngine....>2026-06-05 01:16:18.00761< :  Local
C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96\Result\MCalc-SV.log,MCalc-SV.log,.log,solver_log_text,792,50 61 72 61 43 6f 6e 74 72 6f 6c 5f 41 4d 44 36 34 2d 31 78 4e 20 40 20 59 75 65 6e 6b 6f 6b 75,ParaControl_AMD64-1xN @ Yuenkoku:  =============================================================
C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96\Result\MCalc.log,MCalc.log,.log,solver_log_text,2254830,46 72 6f 6e 74 65 6e 64 2d 4e 6f 64 65 3a 20 20 3d 3d 3d 3d 3d 3d 3d 3d 3d 3d 3d 3d 3d 3d 3d 3d,Frontend-Node:  ======================.                Mesher selection: FPBA.                ==
C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96\Result\MCalc^Diagnostics.log,MCalc^Diagnostics.log,.log,solver_log_text,818,7b 33 39 30 34 34 7d 20 3e 32 30 32 36 2d 30 36 2d 30 35 20 30 31 3a 31 36 3a 32 30 2e 30 30 37,{39044} >2026-06-05 01:16:20.00794< matrixcalc_AMD64 @ Yuenkoku:  xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96\Result\MCalcFARMSampling.log,MCalcFARMSampling.log,.log,solver_log_text,170678,7b 33 33 30 38 38 7d 20 3e 32 30 32 36 2d 30 36 2d 30 35 20 30 31 3a 31 38 3a 31 33 2e 30 30 37,{33088} >2026-06-05 01:18:13.00790< matrixcalc_AMD64 @ Yuenkoku: 1xN002:  ======================
C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96\Result\ml_info.log,ml_info.log,.log,solver_log_text,211,4c 61 79 65 72 20 44 65 74 65 63 74 69 6f 6e 20 52 75 6e 20 41 74 3a 20 46 72 69 20 4a 75 6e 20,Layer Detection Run At: Fri Jun  5 01:16:18 2026..Layer Detection Version: 20180416....No Result
C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96\Result\Model.log,Model.log,.log,solver_log_text,8903,32 30 32 36 2d 30 36 2d 30 35 20 30 31 3a 31 36 3a 31 38 20 20 20 44 65 66 69 6e 65 64 20 72 65,2026-06-05 01:16:18   Defined reference frequency for open boundary condition (1.2 GHz) is large
"C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96\Result\nearfield_local_huygens_r0p35_1200MHz_1,1.m3d","nearfield_local_huygens_r0p35_1200MHz_1,1.m3d",.m3d,nearfield_monitor_binary,204793324,98 ff ff ff ff ff ff ff 4a 33 82 00 4a 33 82 00 4a 33 82 00 00 00 00 00 01 00 00 00 00 00 00 00,........J3..J3..J3..................d...........................................................
C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96\Result\output.json,output.json,.json,solver_metadata_json,637,7b 0d 0a 20 20 20 20 22 6d 65 73 73 61 67 65 73 22 3a 20 5b 0d 0a 20 20 20 20 20 20 20 20 7b 0d,"{..    ""messages"": [..        {..            ""message"": ""2026-06-05 01:16:20   current system me"
C:\csttmp\huy_sf_safe_hfield96_s\L1_short_dipole_x_1p2G_hfield96\Result\output.txt,output.txt,.txt,solver_log_text,3253,5f 5f 5f 5f 5f 5f 5f 5f 5f 5f 5f 5f 5f 5f 5f 5f 5f 5f 5f 5f 5f 5f 5f 5f 5f 5f 5f 5f 5f 5f 5f 5f,________________________________________________________________________________________________
