sensor_id,node_id,component,probe_x_m,probe_y_m,probe_z_m,cst_probe_item,item_x_m,item_y_m,item_z_m,distance_m,status,result_ids,result_id,frequency_index,n_points,target_frequency_ghz,selected_frequency_ghz,frequency_error_ghz,h_real,h_imag,error
0,0,Hx,0.050386419129,0,4.34635416667,1D Results\Probes\H-Field\H-Field (0.0503864 0 4.34635)(X) [1],0.0503864,0.0,4.34635,4.166713910109e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,5.395067628490e-13,1.827600682455e-11,
0,0,Hy,0.050386419129,0,4.34635416667,1D Results\Probes\H-Field\H-Field (0.0503864 0 4.34635)(Y) [1],0.0503864,0.0,4.34635,4.166713910109e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.625745067336e-05,1.128090851063e-05,
0,0,Hz,0.050386419129,0,4.34635416667,1D Results\Probes\H-Field\H-Field (0.0503864 0 4.34635)(Z) [1],0.0503864,0.0,4.34635,4.166713910109e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,3.048544512796e-07,-8.794245824097e-08,
1,1,Hx,-0.0640137315534,0.0586418218199,4.3390625,1D Results\Probes\H-Field\H-Field (-0.0640137 0.0586418 4.33906)(X) [1],-0.0640137,0.0586418,4.33906,2.500294327597e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.206794067858e-11,-1.437591567502e-11,
1,1,Hy,-0.0640137315534,0.0586418218199,4.3390625,1D Results\Probes\H-Field\H-Field (-0.0640137 0.0586418 4.33906)(Y) [1],-0.0640137,0.0586418,4.33906,2.500294327597e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.660332064488e-05,9.490470541593e-06,
1,1,Hz,-0.0640137315534,0.0586418218199,4.3390625,1D Results\Probes\H-Field\H-Field (-0.0640137 0.0586418 4.33906)(Z) [1],-0.0640137,0.0586418,4.33906,2.500294327597e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-3.308602912119e-06,-1.496948234350e-06,
2,2,Hx,0.00974634673724,-0.111054594117,4.33177083333,1D Results\Probes\H-Field\H-Field (0.00974635 -0.111055 4.33177)(X) [1],0.00974635,-0.111055,4.33177,9.269253179878e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,5.079000866652e-12,6.148118075324e-12,
2,2,Hy,0.00974634673724,-0.111054594117,4.33177083333,1D Results\Probes\H-Field\H-Field (0.00974635 -0.111055 4.33177)(Y) [1],0.00974635,-0.111055,4.33177,9.269253179878e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.643214856252e-05,8.926626283780e-06,
2,2,Hz,0.00974634673724,-0.111054594117,4.33177083333,1D Results\Probes\H-Field\H-Field (0.00974635 -0.111055 4.33177)(Z) [1],0.00974635,-0.111055,4.33177,9.269253179878e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,5.612880505671e-06,2.990004266950e-06,
3,3,Hx,0.0798267852986,0.104119905629,4.32447916667,1D Results\Probes\H-Field\H-Field (0.0798268 0.10412 4.32448)(X) [1],0.0798268,0.10412,4.32448,8.387853757887e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-7.700319666938e-13,2.563744988527e-11,
3,3,Hy,0.0798267852986,0.104119905629,4.32447916667,1D Results\Probes\H-Field\H-Field (0.0798268 0.10412 4.32448)(Y) [1],0.0798268,0.10412,4.32448,8.387853757887e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.607285715719e-05,9.133183114132e-06,
3,3,Hz,0.0798267852986,0.104119905629,4.32447916667,1D Results\Probes\H-Field\H-Field (0.0798268 0.10412 4.32448)(Z) [1],0.0798268,0.10412,4.32448,8.387853757887e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-5.575346975047e-06,-2.751443400187e-06,
4,4,Hx,-0.145697968509,-0.0257719191415,4.3171875,1D Results\Probes\H-Field\H-Field (-0.145698 -0.0257719 4.31719)(X) [1],-0.145698,-0.0257719,4.31719,2.500271601173e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.757781564899e-11,-3.786797856668e-11,
4,4,Hy,-0.145697968509,-0.0257719191415,4.3171875,1D Results\Probes\H-Field\H-Field (-0.145698 -0.0257719 4.31719)(Y) [1],-0.145698,-0.0257719,4.31719,2.500271601173e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.562685804422e-05,9.242698080671e-06,
4,4,Hz,-0.145697968509,-0.0257719191415,4.3171875,1D Results\Probes\H-Field\H-Field (-0.145698 -0.0257719 4.31719)(Z) [1],-0.145698,-0.0257719,4.31719,2.500271601173e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.627681716858e-06,5.507611043236e-07,
5,5,Hx,0.137261566981,-0.0873145733117,4.30989583333,1D Results\Probes\H-Field\H-Field (0.137262 -0.0873146 4.3099)(X) [1],0.137262,-0.0873146,4.3099,4.189195222207e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-4.642608397846e-12,4.103325230571e-11,
