cst_probe_name,sensor_id,x_m,y_m,z_m,theta_deg,phi_deg,radius_m,coordinate_unit,field_components,monitor_use
NF_HEMI_000,0,1.3588700224794952,0.0,12.928784639787551,6.000000000000001,0.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_001,1,1.276920132731163,0.4647609198493916,12.928784639787551,6.000000000000001,20.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_002,2,1.040954829641378,0.8734648136242886,12.928784639787551,6.000000000000001,40.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_003,3,0.6794350112397477,1.1768159599083738,12.928784639787551,6.000000000000001,59.99999999999999,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_004,4,0.2359653030897851,1.3382257334736802,12.928784639787551,6.000000000000001,80.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_005,5,-0.2359653030897849,1.3382257334736802,12.928784639787551,6.000000000000001,100.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_006,6,-0.6794350112397473,1.176815959908374,12.928784639787551,6.000000000000001,120.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_007,7,-1.040954829641378,0.8734648136242887,12.928784639787551,6.000000000000001,140.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_008,8,-1.2769201327311628,0.4647609198493918,12.928784639787551,6.000000000000001,160.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_009,9,-1.3588700224794952,1.6641358234868055e-16,12.928784639787551,6.000000000000001,180.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_010,10,-1.276920132731163,-0.4647609198493915,12.928784639787551,6.000000000000001,200.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_011,11,-1.040954829641378,-0.8734648136242886,12.928784639787551,6.000000000000001,220.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_012,12,-0.6794350112397481,-1.1768159599083736,12.928784639787551,6.000000000000001,240.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_013,13,-0.2359653030897849,-1.3382257334736802,12.928784639787551,6.000000000000001,260.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_014,14,0.2359653030897844,-1.3382257334736802,12.928784639787551,6.000000000000001,280.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_015,15,0.6794350112397477,-1.1768159599083738,12.928784639787551,6.000000000000001,300.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_016,16,1.0409548296413778,-0.873464813624289,12.928784639787551,6.000000000000001,320.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_017,17,1.2769201327311628,-0.4647609198493926,12.928784639787551,6.000000000000001,339.99999999999994,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_018,18,3.5832856256209897,0.0,12.496402047198146,16.000000000000004,0.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_019,19,3.367187060564261,1.2255558632516994,12.496402047198146,16.000000000000004,20.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_020,20,2.74495604161507,2.3032916021170515,12.496402047198146,16.000000000000004,40.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_021,21,1.791642812810495,3.103216380803392,12.496402047198146,16.000000000000004,59.99999999999999,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_022,22,0.6222310189491915,3.528847465368751,12.496402047198146,16.000000000000004,80.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_023,23,-0.6222310189491912,3.528847465368751,12.496402047198146,16.000000000000004,100.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_024,24,-1.7916428128104942,3.103216380803393,12.496402047198146,16.000000000000004,120.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_025,25,-2.74495604161507,2.303291602117052,12.496402047198146,16.000000000000004,140.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_026,26,-3.367187060564261,1.2255558632517,12.496402047198146,16.000000000000004,160.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_027,27,-3.5832856256209897,4.388259271847466e-16,12.496402047198146,16.000000000000004,180.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_028,28,-3.367187060564261,-1.2255558632516992,12.496402047198146,16.000000000000004,200.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_029,29,-2.74495604161507,-2.3032916021170515,12.496402047198146,16.000000000000004,220.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_030,30,-1.7916428128104964,-3.103216380803392,12.496402047198146,16.000000000000004,240.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_031,31,-0.6222310189491913,-3.528847465368751,12.496402047198146,16.000000000000004,260.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_032,32,0.62223101894919,-3.528847465368752,12.496402047198146,16.000000000000004,280.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
NF_HEMI_033,33,1.791642812810495,-3.103216380803392,12.496402047198146,16.000000000000004,300.0,13.0,m,Ex;Ey;Ez,sample complex E-field at this point for the 2pi upper-hemisphere measurement surface
