category,artifact,scope,status,trust_level,best_setting,min_correlation,max_nmse,max_main_lobe_error_deg,sensor_count,evidence_path,command,interpretation,next_action,blocker
data_boundary,true_nearfield_monitor_gate,18-row true CST near-field monitor rerun queue,pending_source,blocked_by_authoritative_monitor_data,"queue_rows=18, status_counts={'pending_source': 18}",,,,,data\cst_true_nearfield_workpack\gate_report\true_nearfield_gate_summary.json,python code\run_true_nearfield_gate.py,The immediate G3 boundary is data availability: real CST true near-field monitor CSVs are not present yet.,CST operator exports full_grid_162 true-monitor CSVs; algorithm operator reruns this gate and then reruns source/SWE/Huygens diagnostics if needed.,missing data/cst_exports/level1_true_nearfield/*.csv
trusted_sanity,scalar_spherical_nf_ff_baseline,Level 1 full 162-point scalar angular NF-FF sanity check,strict_pass,trusted_angle_polarization_check,"lmax=4, lambda=0.0, modes=24, ff_complex_l2=0.0316",0.9990092548096616,0.0009260393811542808,0.0,,data\sampling_layouts\spherical_nf_ff_baseline\spherical_nf_ff_summary.json,python code\run_spherical_nf_ff_baseline.py,"The scalar angular SWE check now includes total complex Etheta/Ephi residuals; it strongly supports angle, phase, and tangential-component consistency.","Use this as a component-aware sanity baseline, while still labeling it non-vector and FarfieldPlot-derived.",
trusted_sanity,center_source_prior,"Level 1 known z-source, full 162-point reference",corr_pass_nmse_near,trusted_data_path_check,"full_grid_162, lambda=0.0001, grid=[1, 1, 1]",0.9926081196114998,0.01778445165053833,0.0,162.0,data\sampling_layouts\cst_level1_center_source_check\cst_sampling_tradeoff_summary.json,python code\run_cst_sampling_tradeoff.py --level1-center-source-grid --out-dir data\sampling_layouts\cst_level1_center_source_check,Known center-source prior validates the current CST/Python angle and far-field comparison chain.,Keep this as a sanity baseline; do not use it alone to prove generic reduced sampling.,
trusted_sanity,meshsafe_huygens_rotation_covariance,2 real E/H base cases x 9 rigid rotations,rotation_covariance_strict_pass,operator_covariance_not_new_cst_source,eh_love_equivalence_minus_j96; strict=18/18; base_accepted=2/2,0.9999999999999998,4.0381925717728976e-29,1.2074182697257333e-06,96.0,data\sampling_layouts\cst_meshsafe_huygens_rotation_covariance\huygens_rotation_covariance_summary.json,python code\run_cst_huygens_rotation_covariance.py,"The frozen real E/H Huygens candidate is now checked under rigid rotations of the measured CST local E/H surface fields. This proves the Python current extraction and far-field operator are coordinate-covariant for the current vector rule; it does not replace real CST x/y, tilted, off-axis, or multi-source exports.","Keep this as the prerequisite geometry-rule evidence, then add true CST source-family exports to test the frozen rule against independent electromagnetic solves.",
trusted_sanity,source_model_sweep_best,Level 1 source-prior scan on full 162-point layout,corr_pass_nmse_near,trusted_for_known_source_only,"single_center, lambda=0.001, candidate=full_grid_162",0.9926081196115,0.017784451650445617,0.0,,data\sampling_layouts\cst_level1_source_model_sweep\cst_source_model_sweep_summary.json,python code\run_cst_source_model_sweep.py,The scan confirms that the current data chain works under a tight known-source prior.,Keep the center prior as calibration evidence; use physical priors for unknown/source-rich cases.,
trusted_sanity,meshsafe_huygens_real_cst_batch,2/2 Level 1 real CST local Huygens exports,real_eh_frozen_rule_region_pass,real_cst_data_chain_not_final_huygens_proof,L1_short_dipole_z_1p2G:strict_pass/eh_love_equivalence_plus_j256/eta=1.000eta0/J=256.0000/H=loaded; L1_halfwave_dipole_z_1p2G:strict_pass/eh_love_equivalence_minus_j96/eta=1.000eta0/J=96.0000/H=loaded; frozen:frozen_real_eh_mixed_strict_region_pass/eh_love_equivalence_minus_j96/J=96.0000/accepted=2/2/strict=1/2,0.998895662765677,0.0007303417569844,0.0,96.0,data\sampling_layouts\cst_meshsafe_huygens_extrapolation_batch\meshsafe_huygens_batch_summary.json,python code\run_cst_meshsafe_huygens_extrapolation.py --batch,"The mesh-safe route now uses real CST local probe curves for two Level 1 sources and the best diagnostic branches now use real E/H currents rather than the scalar eta_eff proxy (0/2 best settings use non-eta0 eta_eff). Matching H-field is now loaded for 2/2 cases and real E/H candidates are accepted for 2/2 cases; 2/2 best settings currently select a real-H branch, with J-scale values 96.0000, 256.0000, families eh_love_equivalence_minus, eh_love_equivalence_plus, ratio 2.6667, and calibration status cross_case_sign_and_scale_disagreement. The frozen-rule gate selects eh_love_equivalence_minus_j96 with status frozen_real_eh_mixed_strict_region_pass, accepted 2/2, strict 1/2, min Corr 0.9989, and max scaled NMSE 7.3034e-04. This is now an operator-stability question rather than a CST export blocker.","Promote the frozen real E/H candidate into a geometry/physics rule, then test the accepted rule on a broader CST source-family set before propagating it to the 13 m measurement shell.",
rerun_priority,scalar_spherical_nf_ff_reduced_layout,Reduced-layout scalar NF-FF diagnostic for true-monitor queue priority,strict_pass,layout_priority_not_final_proof,"geometric_farthest_32, lmax=4, lambda=1e-10, ff_complex_l2=0.0347",0.9991228831465736,0.0009766965566670605,0.0,32.0,data\sampling_layouts\spherical_nf_ff_tradeoff\spherical_nf_ff_tradeoff_summary.json,python code\run_spherical_nf_ff_tradeoff.py,"The 32-point reduced layout has strong power-pattern and complex-component sanity metrics; it is a true-monitor rerun priority, not final vector SWE proof.","Export full_grid_162 true-monitor CSV first, then derive or compare geometric_farthest_32 and fibonacci_snap_120.",
rerun_priority,meshsafe_huygens_source_family_workpack,1 CST source-family solver pilot trial(s); 1 timed out; 0 completed,source_family_solver_pilot_timed_out,solver_gate_not_physics_proof,solver_start_ok=1/1; max_elapsed_s=609.3600; max_time_steps=1457297; real_cst_api_trials=1,,,,96.0,outputs\cst_meshsafe_huygens_source_family_solver_status\source_family_solver_status_summary.json,python code\build_cst_source_family_solver_status.py,"The independent source-family gate has moved into real CST solver execution. The first pilot started successfully and populated ResultTree probe entries, but the current time-domain setup did not finish inside the solver timeout, so no matched local E/H CSV or far-field export is ready for frozen-rule validation.","Build a solver-safe pilot for the short x-oriented case before running the full 12-project queue: reduce or verify CST time-domain settings, or switch to a validated frequency-domain/fast-path variant, then rerun solve/export and only then evaluate the frozen Huygens rule.",current CST time-domain solver settings timed out before export
rerun_priority,meshsafe_huygens_source_family_solver_safe_pilot,6 planned CST diagnostic trial(s); 6 executed; 6 finished; 0 timed out,source_family_solver_safe_full_efield_finished,solver_diagnostic_evidence_not_huygens_proof,target=L1_short_dipole_x_1p2G; artifact_ready=6; ladder=none->efarfield96->efield24->hfield24->efield48->efield96,,,,96.0,outputs\cst_meshsafe_huygens_source_family_solver_safe_status\solver_safe_status_summary.json,python code\build_cst_source_family_solver_safe_status.py,The source-family timeout is now being isolated with a staged CST diagnostic ladder. Executed rows are runtime evidence only; frozen-rule electromagnetic validation still requires export-ready matched local E/H CSVs and far-field references.,"full local E-field probe solve is now runtime-feasible on the short x case; next run a matching long-window H-field pilot for the same sample, then export matched E/H and far-field references before applying the frozen Huygens rule",
model_bottleneck,generic_equivalent_source_grid,"Level 1 generic 5x3x3 source grid, full 162-point reference",diagnostic_only,diagnostic_only,"full_grid_162, lambda=0.0001, grid=[5, 3, 3]",0.7929894882043745,0.3203551638682805,89.92574848934078,162.0,data\sampling_layouts\cst_level1_tradeoff\cst_sampling_tradeoff_summary.json,python code\run_cst_sampling_tradeoff.py,"The generic grid fails before reduced-layout comparison, so low-point claims must wait.",Use structure-aware priors or true-monitor reruns before making sampling-compression claims.,
